drive,fixed_drive,fixed_drive_result,drive_real_start_time,drive_play_count,drive_time_of_possession,drive_first_downs,drive_inside20,drive_ended_with_score,drive_quarter_start,drive_quarter_end,drive_yards_penalized,drive_start_transition,drive_end_transition,drive_start_yard_line,drive_end_yard_line,drive_play_id_started,drive_play_id_ended
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
1.0,1.0,Turnover,2003-09-07T13:06:20Z,12.0,5:55,4.0,1.0,0.0,1.0,1.0,0.0,KICKOFF,INTERCEPTION,IND 38,CLE 2,35.0,313.0
