,passer_player_name,play_type,week,posteam,passing_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,B.Huard,pass,4,IND,13.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.30320168,0.090457544,0.0017384118,0.18840903,0.1794126,0.0040729623,0.23270778,0.0,0.0,0.5816256,0.28562355,-43.820137,43.820137,4.9022727,-4.9022727,-43.58837,43.58837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99963003,0.00036996603,0.00036996603,0.99963003,4.9471855e-05,0.00032049417,0.9996795,-0.07609693,0.07609693,-0.509987,0.509987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28562355,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1,B.Huard,pass,15,IND,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09358354,0.12101019,0.0023344741,0.19903544,0.24119407,0.005231917,0.33761036,0.0,0.0,1.336371,0.18040884,32.0125,-32.0125,-7.2515616,7.2515616,41.975105,-41.975105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998493,0.00015065074,0.9998493,0.00015065074,-1.1861324e-05,0.9998375,0.00016251206,-0.054850906,0.054850906,0.50136566,-0.50136566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18040884,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2,B.Huard,pass,18,IND,17.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17959723,0.049411558,0.0005236828,0.081425525,0.4170735,0.0035025359,0.26846597,0.0,0.0,2.4182267,-0.46595335,31.744019,-31.744019,-10.695451,10.695451,35.893024,-35.893024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998723,0.00012769699,0.9998723,0.00012769699,1.0188635e-05,0.9998825,0.00011750836,-0.12392075,0.12392075,0.5885858,-0.5885858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46595335,0.0,0.0,0.0,0.0,0.0,0.0,8.8
3,P. Manning,pass,19,IND,304.0,0.0,17.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,3.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.08532221,0.09943551,0.0020397753,0.16896604,0.2743237,0.0025506143,0.36736214,0.0,0.0,1.914459,0.8980365,-11.227814,11.227814,-1.9176763,1.9176763,-7.755712,7.755712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7368384,0.2631616,0.2631616,0.7368384,0.01982782,0.24333379,0.7566662,-0.110801764,0.110801764,-0.14907645,0.14907645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8980365,0.0,0.0,0.0,0.0,0.0,0.0,7.870968
4,P. Manning,pass,20,IND,237.0,0.0,13.0,0.0,3.0,9.0,1.0,3.0,20.0,4.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,4.0,1.0,1.0,0.0,0.0,1.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,7.0,0.25719255,0.083492324,0.0018432514,0.12865727,0.23153152,0.0022148327,0.29506826,0.0,0.0,1.6097376,-0.3620781,9.171517,-9.171517,-7.377865,7.377865,16.172419,-16.172419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09964613,0.9003539,0.9003539,0.09964613,-0.0071015498,0.90745544,0.09254458,-0.016834958,0.016834958,0.4110144,-0.4110144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2816694,0.0,0.0,0.0,0.0,0.0,0.0,8.764706
5,P.Manning,pass,1,IND,211.0,0.0,14.0,0.0,6.0,4.0,0.0,0.0,14.0,2.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,0.22100168,0.08583429,0.002365504,0.13111264,0.2559659,0.0022140092,0.301506,0.0,0.0,1.7028453,-0.056372367,-1.3633082,1.3633082,-2.3243647,2.3243647,2.8910131,-2.8910131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47977152,0.52022845,0.52022845,0.47977152,0.00015251068,0.5200759,0.47992408,-0.055090833,0.055090833,0.08164939,-0.08164939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056372367,0.0,0.0,0.0,0.0,0.0,0.0,8.113636
6,P.Manning,pass,2,IND,173.0,0.0,8.0,0.0,1.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,5.0,0.118359044,0.07104958,0.0026797687,0.10362697,0.34087652,0.0029515496,0.3604566,0.0,0.0,2.6078317,0.17666245,9.75805,-9.75805,4.797275,-4.797275,1.6252968,-1.6252968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83288825,0.16711172,0.83288825,0.16711172,0.0039486587,0.8368369,0.16316307,0.2441173,-0.2441173,-0.09650243,0.09650243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17666245,0.0,0.0,0.0,0.0,0.0,0.0,9.272727
7,P.Manning,pass,3,IND,216.0,0.0,11.0,0.0,6.0,7.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,2.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,6.0,0.076790884,0.09318737,0.0018021483,0.14592043,0.27827471,0.0046209483,0.39940354,0.0,0.0,2.3352814,0.14437461,5.288337,-5.288337,-1.9486625,1.9486625,1.7212505,-1.7212505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7245988,0.27540123,0.7245988,0.27540123,0.0041773445,0.7287761,0.27122387,0.0031984628,-0.0031984628,0.057433154,-0.057433154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14437461,0.0,0.0,0.0,0.0,0.0,0.0,8.121212
8,P.Manning,pass,4,IND,314.0,0.0,14.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,1.0,6.0,6.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,17.0,14.0,2.0,0.07274397,0.0711467,0.0019437093,0.12876086,0.3413124,0.0025398696,0.38155252,0.0,0.0,2.5812306,1.052818,-22.163485,22.163485,-0.17532961,0.17532961,-21.85135,21.85135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86994463,0.13005532,0.13005532,0.86994463,0.012507354,0.11754796,0.882452,-0.04854135,0.04854135,-0.3973684,0.3973684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052818,0.0,0.0,0.0,0.0,0.0,0.0,8.692307
9,P.Manning,pass,5,IND,386.0,0.0,17.0,1.0,5.0,9.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,1.0,3.0,2.0,0.0,1.0,0.0,34.0,14.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0,17.0,1.0,0.25687233,0.11148682,0.0067285127,0.16930987,0.19417469,0.002072761,0.25935504,0.0,0.0,0.8690681,0.36592957,9.567908,-9.567908,-2.0706046,2.0706046,12.187699,-12.187699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15459464,0.84540534,0.84540534,0.15459464,0.011979145,0.83342624,0.16657378,-0.01758342,0.01758342,0.17751814,-0.17751814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36592957,0.0,0.0,0.0,0.0,0.0,0.0,9.458333
