play_id,game_id,old_game_id,season_type,week,game_date,season,order_sequence,nfl_api_id,id
35.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,35.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
57.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,57.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
78.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,78.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
116.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,116.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
145.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,145.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
168.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,168.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
189.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,189.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
210.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,210.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
231.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,231.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
252.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,252.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
271.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,271.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
292.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,292.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
313.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,313.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
344.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,344.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
376.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,376.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
399.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,399.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
420.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,420.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
441.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,441.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
473.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,473.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
494.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,494.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
515.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,515.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
536.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,536.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
557.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,557.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
589.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,589.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
612.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,612.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
633.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,633.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
654.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,654.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
673.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,673.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
694.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,694.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
713.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,713.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
735.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,735.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
764.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,764.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
785.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,785.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
801.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,801.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
822.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,822.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
843.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,843.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
864.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,864.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
885.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,885.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
904.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,904.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
925.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,925.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
948.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,948.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
984.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,984.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1003.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1003.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1024.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1024.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0019650
1045.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1045.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1066.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1066.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1087.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1087.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0020430
1108.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1108.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0020430
1129.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1129.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1148.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1148.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
1167.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1167.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
1188.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1188.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1209.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1209.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
1230.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1230.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1251.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1251.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
1274.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1274.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1293.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1293.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
1331.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1331.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1369.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1369.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
1395.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1395.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1419.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1419.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1438.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1438.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1469.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1469.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0019057
1509.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1509.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1530.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1530.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1551.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1551.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1575.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1575.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1613.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1613.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1632.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1632.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1662.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1662.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1681.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1681.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1700.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1700.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
1719.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1719.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
1752.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1752.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
1774.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1774.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
1795.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1795.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
1816.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1816.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1835.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1835.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
1856.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1856.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
1877.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1877.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
1909.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1909.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1930.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1930.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0019057
1951.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1951.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
1972.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1972.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
1989.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,1989.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2008.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2008.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2029.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2029.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
2050.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2050.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2071.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2071.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2092.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2092.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
2113.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2113.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2134.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2134.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2153.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2153.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
2174.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2174.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
2195.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2195.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2218.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2218.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2237.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2237.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2270.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2270.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2291.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2291.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2312.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2312.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2333.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2333.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2354.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2354.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2373.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2373.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2394.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2394.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2415.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2415.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2431.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2431.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2452.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2452.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2486.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2486.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2507.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2507.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2528.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2528.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2549.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2549.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2585.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2585.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2604.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2604.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2625.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2625.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2648.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2648.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2684.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2684.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2705.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2705.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2726.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2726.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
2745.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2745.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2764.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2764.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2786.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2786.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
2807.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2807.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2828.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2828.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2849.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2849.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
2880.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2880.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0008241
2901.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2901.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2920.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2920.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
2939.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2939.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
2958.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2958.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0021150
2995.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,2995.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
3021.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3021.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
3042.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3042.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0007576
3063.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3063.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
3088.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3088.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3109.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3109.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3147.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3147.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3168.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3168.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3187.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3187.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3206.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3206.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3227.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3227.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3248.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3248.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3286.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3286.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3324.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3324.0,10012003-0907-0277-e7c6-41b36cc4a1ce,00-0010346
3385.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3385.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
3404.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3404.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
3436.0,2003_01_IND_CLE,2003090702,REG,1,2003-09-07,2003,3436.0,10012003-0907-0277-e7c6-41b36cc4a1ce,
35.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,35.0,10012003-0914-07b5-9a1d-0127f6a0d339,
70.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,70.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0011024
102.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,102.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0011024
123.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,123.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0007579
144.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,144.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0011024
169.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,169.0,10012003-0914-07b5-9a1d-0127f6a0d339,
192.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,192.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0008241
217.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,217.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0008241
247.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,247.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0008241
279.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,279.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0010346
300.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,300.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0008241
321.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,321.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0008241
342.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,342.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0010346
363.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,363.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0008241
384.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,384.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0010346
414.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,414.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0008241
439.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,439.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0008241
460.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,460.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0010346
488.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,488.0,10012003-0914-07b5-9a1d-0127f6a0d339,
507.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,507.0,10012003-0914-07b5-9a1d-0127f6a0d339,
545.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,545.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0005883
566.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,566.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0005883
587.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,587.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0011024
608.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,608.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0011024
627.0,2003_02_TEN_IND,2003091407,REG,2,2003-09-14,2003,627.0,10012003-0914-07b5-9a1d-0127f6a0d339,00-0007308
