td_player_name,td_player_id,passer_player_id,passer_player_name,passing_yards,receiver_player_id,receiver_player_name,receiving_yards,rusher_player_id,rusher_player_name,rushing_yards,lateral_receiver_player_id,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_id,lateral_rusher_player_name,lateral_rushing_yards,lateral_sack_player_id,lateral_sack_player_name,passer,passer_jersey_number,rusher,rusher_jersey_number,receiver,receiver_jersey_number,passer_id,rusher_id,receiver_id,name,jersey_number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00-0010346,P.Manning,9.0,00-0020739,R.Williams,9.0,,,,,,,,,,,,P.Manning,18.0,,,R.Williams,35.0,00-0010346,,00-0020739,P.Manning,18.0
,,,,,,,,00-0008241,E.James,0.0,,,,,,,,,,,E.James,32.0,,,,00-0008241,,E.James,32.0
,,00-0010346,P.Manning,18.0,00-0013080,M.Pollard,18.0,,,,,,,,,,,,P.Manning,18.0,,,M.Pollard,81.0,00-0010346,,00-0013080,P.Manning,18.0
,,00-0010346,P.Manning,,,,,,,,,,,,,,,,P.Manning,18.0,,,E.James,32.0,00-0010346,,00-0008241,P.Manning,18.0
,,,,,,,,00-0008241,E.James,0.0,,,,,,,,,,,E.James,32.0,,,,00-0008241,,E.James,32.0
,,00-0010346,P.Manning,13.0,00-0020498,R.Wayne,13.0,,,,,,,,,,,,P.Manning,18.0,,,R.Wayne,87.0,00-0010346,,00-0020498,P.Manning,18.0
,,,,,,,,00-0008241,E.James,3.0,,,,,,,,,,,E.James,32.0,,,,00-0008241,,E.James,32.0
,,00-0010346,P.Manning,7.0,00-0008241,E.James,7.0,,,,,,,,,,,,P.Manning,18.0,,,E.James,32.0,00-0010346,,00-0008241,P.Manning,18.0
,,00-0010346,P.Manning,,,,,,,,,,,,,,,,P.Manning,18.0,,,E.James,32.0,00-0010346,,00-0008241,P.Manning,18.0
,,00-0010346,P.Manning,6.0,00-0008241,E.James,6.0,,,,,,,,,,,,P.Manning,18.0,,,E.James,32.0,00-0010346,,00-0008241,P.Manning,18.0
,,00-0010346,P.Manning,4.0,00-0007024,M.Harrison,4.0,,,,,,,,,,,,P.Manning,18.0,,,M.Harrison,88.0,00-0010346,,00-0007024,P.Manning,18.0
,,00-0010346,P.Manning,,,,,,,,,,,,,,,,P.Manning,18.0,,,M.Pollard,81.0,00-0010346,,00-0013080,P.Manning,18.0
,,,,,,,,,,,,,,,,,,,K.Holcomb,10.0,,,W.Green,31.0,00-0007576,,00-0021150,K.Holcomb,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,00-0021150,W.Green,5.0,,,,,,,,,,,W.Green,31.0,,,,00-0021150,,W.Green,31.0
,,00-0007576,K.Holcomb,14.0,00-0020427,Q.Morgan,14.0,,,,,,,,,,,,K.Holcomb,10.0,,,Q.Morgan,81.0,00-0007576,,00-0020427,K.Holcomb,10.0
,,,,,,,,,,,,,,,,,,,K.Holcomb,10.0,,,J.White,30.0,00-0007576,,00-0019057,K.Holcomb,10.0
,,,,,,,,00-0021150,W.Green,4.0,,,,,,,,,,,W.Green,31.0,,,,00-0021150,,W.Green,31.0
