home_team,away_team,posteam,posteam_type,defteam,td_team,return_team,penalty_team,home_coach,away_coach
CLE,IND,IND,away,CLE,,IND,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,CLE,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,CLE,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,IND,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,IND,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,IND,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,IND,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,IND,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,CLE,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,CLE,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,,,Butch Davis,Tony Dungy
CLE,IND,CLE,home,IND,,IND,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,IND,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,,,Butch Davis,Tony Dungy
CLE,IND,IND,away,CLE,,CLE,,Butch Davis,Tony Dungy
