Gtm,Week,Date,Day, ,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP
1,1,2003-09-07,Sun,@,CLE,W,9,6,,27,43,62.8,204,0,4.7,2.65,54.8,1,7,15,67,0,4.5,59,271,4.59,3,3,0,0,3,119,14,3,1,18,7,12,0,0,9,53,0,2,2,27:21
2,2,2003-09-14,Sun,,TEN,W,33,7,,14,21,66.7,164,1,7.8,8.76,106.1,1,9,34,127,1,3.7,56,291,5.20,4,4,3,3,4,155,8,9,3,20,3,12,1,1,6,38,0,0,0,30:50
3,3,2003-09-21,Sun,,JAX,W,23,13,,21,33,63.6,216,2,6.5,6.39,90.0,0,0,30,73,0,2.4,63,289,4.59,3,3,2,2,3,126,11,6,0,17,7,14,0,0,4,20,0,1,1,36:12
4,4,2003-09-28,Sun,@,NOR,W,55,21,,21,27,77.8,318,6,11.8,16.22,155.3,1,9,28,100,0,3.6,56,418,7.46,2,2,7,7,2,88,15,5,0,20,7,11,0,0,2,20,0,0,0,31:56
5,5,2003-10-06,Mon,@,TAM,W,38,35,OT,34,47,72.3,381,2,8.1,8.00,101.5,1,5,22,74,3,3.4,70,455,6.50,1,1,5,5,6,311,17,5,2,24,5,15,2,2,11,80,1,1,2,32:48
6,6,2003-10-12,Sun,,CAR,L,20,23,OT,23,34,67.6,293,1,8.6,7.88,91.9,0,0,27,76,1,2.8,61,369,6.05,2,2,2,2,5,219,15,3,2,20,3,12,1,1,4,30,2,1,3,27:47
7,8,2003-10-26,Sun,,HOU,W,30,21,,22,30,73.3,269,3,9.0,10.97,133.9,0,0,27,122,0,4.5,57,391,6.86,3,3,3,3,3,129,14,7,2,23,5,11,0,0,3,13,1,0,1,29:28
8,9,2003-11-02,Sun,@,MIA,W,23,17,,23,37,62.2,241,1,6.5,5.84,78.8,4,25,35,115,1,3.3,76,356,4.68,3,3,2,2,4,192,13,7,3,23,7,18,0,1,5,35,1,1,2,37:40
9,10,2003-11-09,Sun,@,JAX,L,23,28,,28,45,62.2,347,2,7.7,6.60,82.4,0,0,21,47,0,2.2,66,394,5.97,3,3,2,2,4,139,16,2,2,20,6,15,1,1,7,38,0,2,2,28:21
10,11,2003-11-16,Sun,,NYJ,W,38,31,,27,36,75.0,393,1,10.9,11.47,119.3,1,8,40,145,4,3.6,77,538,6.99,1,1,5,5,3,123,17,12,1,30,7,14,2,3,4,30,0,0,0,38:52
11,12,2003-11-23,Sun,@,BUF,W,17,14,,26,42,61.9,223,0,5.3,5.31,75.8,1,6,30,103,2,3.4,73,326,4.47,1,1,0,0,6,237,13,7,1,21,9,17,1,1,6,49,1,0,1,32:01
12,13,2003-11-30,Sun,,NWE,L,34,38,,29,48,60.4,272,4,5.7,6.40,95.1,2,6,29,98,0,3.4,79,370,4.68,2,2,4,4,3,135,14,9,3,26,5,16,2,3,4,31,1,1,2,32:01
13,14,2003-12-07,Sun,@,TEN,W,29,27,,22,34,64.7,224,0,6.6,6.59,83.5,2,4,34,116,2,3.4,70,340,4.86,5,5,2,2,4,144,10,8,3,21,5,14,1,1,6,57,0,0,0,33:54
14,15,2003-12-14,Sun,,ATL,W,38,7,,26,31,83.9,287,5,9.3,12.48,144.8,2,12,31,178,0,5.7,64,465,7.27,1,1,5,5,4,161,18,6,3,27,6,12,0,1,9,63,2,0,2,33:28
15,16,2003-12-21,Sun,,DEN,L,17,31,,12,23,52.2,136,0,5.9,5.91,70.2,2,10,12,47,1,3.9,37,183,4.95,1,1,2,2,5,164,4,3,4,11,2,9,0,1,6,45,0,0,0,15:02
16,17,2003-12-28,Sun,@,HOU,W,20,17,,26,38,68.4,211,1,5.6,4.89,80.0,1,9,38,207,1,5.4,77,418,5.43,2,2,2,2,5,204,13,12,2,27,7,15,0,1,6,60,1,1,2,35:32
,,,,,,12-4,447,336,,381,569,67.0,4179,29,7.3,7.57,98.2,19,110,453,1695,16,3.7,1041,5874,5.64,37,37,46,46,64,2646,212,104,32,348,91,217,11,17,92,662,10,10,20,503:13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,2004-01-04,Sun,,DEN,W,41,10,,26,31,83.9,394,5,12.7,15.94,158.3,0,0,23,85,0,3.7,54,479,8.87,2,2,5,5,0,0,17,6,0,23,6,8,0,1,5,40,1,0,1,25:22
2,19,2004-01-11,Sun,@,KAN,W,38,31,,22,30,73.3,292,3,9.7,11.73,137.1,1,12,32,142,2,4.4,63,434,6.89,1,1,5,5,0,0,17,10,0,27,8,11,0,1,1,5,0,0,0,32:13
3,20,2004-01-18,Sun,@,NWE,L,14,24,,23,47,48.9,208,1,4.4,1.02,32.9,4,29,25,98,1,3.9,76,306,4.03,0,0,2,2,1,55,13,8,0,21,5,14,3,7,4,20,1,4,5,27:46
,,,,,,2-1,93,65,,71,108,65.7,894,9,8.3,8.28,103.7,5,41,80,325,3,4.1,193,1219,6.32,3,3,12,12,1,55,47,24,0,71,19,33,3,9,10,65,2,4,6,85:21
