Rk,Tm,Games,Punts,Punting Yds,Yds/Punt,opp Punt Return Yds,Punt Net Yds,Punt Net Yds/Punt,Long Punt,Punt TB,Punt Touchback %,Punt In 20,Punt In 20 %,Punts Blocked
1,Detroit Lions,16,96,3830,39.9,390,3240,33.4,58,8,8.3%,20,20.8%,1
2,Houston Texans,16,97,4028,41.5,410,3561,36.7,58,3,3.1%,36,37.1%,0
3,Oakland Raiders,16,96,4503,46.9,669,3574,37.2,73,13,13.5%,27,28.1%,0
4,Dallas Cowboys,16,95,3697,38.9,227,3290,34.6,59,9,9.5%,25,26.3%,0
5,New York Giants,16,91,3681,40.5,432,3089,33.6,59,6,6.6%,31,34.1%,1
6,Baltimore Ravens,16,91,3712,40.8,345,3178,34.9,67,9,9.9%,21,23.1%,0
7,New England Patriots,16,88,3304,37.5,240,2946,33.1,52,4,4.5%,30,34.1%,1
8,Atlanta Falcons,16,87,3473,39.9,301,3132,36.0,54,2,2.3%,19,21.8%,0
9,Pittsburgh Steelers,16,85,3563,41.9,299,3062,35.6,72,8,9.4%,27,31.8%,1
10,Buffalo Bills,16,85,3788,44.6,577,3151,37.1,71,3,3.5%,20,23.5%,0
11,Washington Redskins,16,84,3377,40.2,393,2884,34.3,69,5,6.0%,24,28.6%,0
12,Miami Dolphins,16,84,3274,39.0,185,2929,34.9,57,8,9.5%,28,33.3%,0
13,Carolina Panthers,16,81,3599,44.4,402,2884,34.3,64,9,11.1%,23,28.4%,3
14,Arizona Cardinals,16,83,3554,42.8,472,2859,34.0,64,9,10.8%,19,22.9%,1
15,Tampa Bay Buccaneers,16,83,3590,43.3,489,2981,35.9,60,6,7.2%,26,31.3%,0
16,San Diego Chargers,16,83,3456,41.6,409,2987,36.0,56,3,3.6%,29,34.9%,0
17,Chicago Bears,16,81,3340,41.2,277,2801,33.7,53,9,11.1%,23,28.4%,2
18,Kansas City Chiefs,16,81,3195,39.4,327,2689,32.8,68,7,8.6%,21,25.9%,1
19,Philadelphia Eagles,16,79,3207,40.6,272,2735,34.6,60,10,12.7%,27,34.2%,0
20,Cincinnati Bengals,16,77,3045,39.5,403,2482,32.2,58,8,10.4%,14,18.2%,0
21,New York Jets,16,72,2692,37.4,322,2253,30.9,55,4,5.6%,22,30.6%,1
22,Cleveland Browns,16,73,3048,41.8,316,2532,34.7,60,10,13.7%,19,26.0%,0
23,New Orleans Saints,16,72,3188,44.3,294,2750,37.7,59,5,6.9%,28,38.9%,1
24,Denver Broncos,16,70,3023,43.2,560,2257,31.3,62,6,8.6%,14,20.0%,2
25,Tennessee Titans,16,71,3117,43.9,276,2681,37.8,58,8,11.3%,26,36.6%,0
26,Green Bay Packers,16,71,2933,41.3,316,2457,34.6,60,8,11.3%,17,23.9%,0
27,Seattle Seahawks,16,69,2844,41.2,140,2562,36.1,61,3,4.3%,29,42.0%,2
28,San Francisco 49ers,16,69,2668,38.7,258,2311,33.0,56,3,4.3%,17,24.6%,1
29,Jacksonville Jaguars,16,69,2895,42.0,420,2313,33.0,58,6,8.7%,13,18.8%,1
30,Indianapolis Colts,16,64,2688,42.0,319,2267,34.9,55,3,4.7%,21,32.8%,1
31,Minnesota Vikings,16,64,2501,39.1,310,2052,31.6,55,5,7.8%,13,20.3%,1
32,St. Louis Rams,16,59,2525,42.8,484,1941,32.9,57,5,8.5%,14,23.7%,0
,Avg Team,,79.7,3291.8,41.3,360.4,2775.9,34.6,60,6.4,8.0%,22.6,28.4%,0.7
,League Total,,2550,105338,41.3,11534,88830,34.6,73,205,8.0%,723,28.4%,21
,Avg Tm/G,,5.0,205.7,41.3,22.5,173.5,34.6,,0.4,8.0%,1.4,28.4%,0.0
