Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,YdsR,Y/R,TDR,1DR,Succ%R,LngR,R/G,Y/GR,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Edgerrin James,25,RB,13,13,310,1259,11,84,49.4,43,4.1,96.8,23.8,71,51,292,5.7,0,9,39.4,17,3.9,22.5,71.8,4.1,361,4.3,1551,11,5,
2,Marvin Harrison,31,WR,15,15,1,3,0,0,0.0,3,3.0,0.2,0.1,142,94,1272,13.5,10,60,54.9,79,6.3,84.8,66.2,9.0,95,13.4,1275,10,2,"PB,AP-2"
3,Reggie Wayne,25,WR,16,16,0,0,0,0,,,,0.0,0.0,107,68,838,12.3,7,50,55.1,57,4.3,52.4,63.6,7.8,68,12.3,838,7,0,
4,Marcus Pollard,31,TE,14,13,0,0,0,0,,,,0.0,0.0,57,40,541,13.5,3,25,63.2,70,2.9,38.6,70.2,9.5,40,13.5,541,3,1,
5,Troy Walters,27,WR,15,4,1,6,0,0,100.0,6,6.0,0.4,0.1,52,36,456,12.7,3,25,61.5,46,2.4,30.4,69.2,8.8,37,12.5,462,3,0,
6,Dallas Clark,24,TE,10,10,0,0,0,0,,,,0.0,0.0,42,29,340,11.7,1,16,52.4,42,2.9,34.0,69.0,8.1,29,11.7,340,1,0,
7,Ricky Williams,25,RB,13,4,48,155,2,7,43.8,19,3.2,11.9,3.7,29,22,157,7.1,1,9,41.4,17,1.7,12.1,75.9,5.4,70,4.5,312,3,2,
8,Dominic Rhodes,24,RB,11,0,37,157,0,6,40.5,25,4.2,14.3,3.4,7,6,62,10.3,1,3,57.1,27,0.5,5.6,85.7,8.9,43,5.1,219,1,0,
9,Brandon Stokley,27,WR,6,3,0,0,0,0,,,,0.0,0.0,32,22,211,9.6,3,11,62.5,37,3.7,35.2,68.8,6.6,22,9.6,211,3,0,
10,Aaron Moorehead,23,WR,7,0,0,0,0,0,,,,0.0,0.0,10,7,101,14.4,0,4,70.0,35,1.0,14.4,70.0,10.1,7,14.4,101,0,1,
11,James Mungro,25,RB,7,0,24,60,2,5,37.5,9,2.5,8.6,3.4,5,1,-4,-4.0,0,0,0.0,-4,0.1,-0.6,20.0,-0.8,25,2.2,56,2,0,
12,Peyton Manning,27,QB,16,16,28,26,0,3,14.3,10,0.9,1.6,1.8,1,1,-2,-2.0,0,0,0.0,-2,0.1,-0.1,100.0,-2.0,29,0.8,24,0,6,"PB,AP-1,AP MVP-1,AP OPoY-3"
13,Joe Davenport,27,TE,16,2,0,0,0,0,,,,0.0,0.0,8,3,23,7.7,0,3,25.0,9,0.2,1.4,37.5,2.9,3,7.7,23,0,0,
14,Hunter Smith,26,P,16,0,1,21,1,1,100.0,21,21.0,1.3,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,21.0,21,1,0,
15,Brock Huard,27,QB,2,0,3,8,0,0,0.0,9,2.7,4.0,1.5,0,0,0,,0,0,,,0.0,0.0,,,3,2.7,8,0,1,
16,Brad Pyatt,23,WR,8,0,0,0,0,0,,,,0.0,0.0,1,1,2,2.0,0,0,0.0,2,0.1,0.3,100.0,2.0,1,2.0,2,0,2,
,Team Totals,,,16,16,453,1695,16,106,45.0,43,3.7,105.9,28.3,564,381,4289,11.3,29,215,53.2,79,23.8,268.1,67.6,7.6,834,7.2,5984,45,20,
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Edgerrin James,25,RB,3,3,62,281,3,22,61.3,18,4.5,93.7,20.7,13,8,66,8.3,0,3,53.8,16,2.7,22.0,61.5,5.1,70,5.0,347,3,1,
2,Marvin Harrison,31,WR,3,3,0,0,0,0,,,,0.0,0.0,27,16,250,15.6,2,11,51.9,46,5.3,83.3,59.3,9.3,16,15.6,250,2,1,
3,Brandon Stokley,27,WR,3,0,0,0,0,0,,,,0.0,0.0,17,11,223,20.3,3,9,52.9,87,3.7,74.3,64.7,13.1,11,20.3,223,3,0,
4,Reggie Wayne,25,WR,3,3,0,0,0,0,,,,0.0,0.0,19,15,172,11.5,2,10,73.7,20,5.0,57.3,78.9,9.1,15,11.5,172,2,0,
5,Marcus Pollard,31,TE,3,3,0,0,0,0,,,,0.0,0.0,18,10,156,15.6,1,9,55.6,32,3.3,52.0,55.6,8.7,10,15.6,156,1,1,
6,Dominic Rhodes,24,RB,3,0,12,42,0,2,16.7,13,3.5,14.0,4.0,4,2,17,8.5,0,1,50.0,9,0.7,5.7,50.0,4.3,14,4.2,59,0,0,
7,Troy Walters,27,WR,2,0,0,0,0,0,,,,0.0,0.0,6,6,31,5.2,0,2,33.3,11,3.0,15.5,100.0,5.2,6,5.2,31,0,0,
8,Joe Davenport,27,TE,2,2,0,0,0,0,,,,0.0,0.0,2,2,18,9.0,0,1,50.0,11,1.0,9.0,100.0,9.0,2,9.0,18,0,0,
9,Peyton Manning,27,QB,3,3,4,3,0,0,0.0,3,0.8,1.0,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,0.8,3,0,1,
10,Tom Lopienski,24,FB,2,0,0,0,0,0,,,,0.0,0.0,2,1,2,2.0,1,1,50.0,2,0.5,1.0,50.0,1.0,1,2.0,2,1,0,
11,Hunter Smith,26,P,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
12,Ricky Williams,25,RB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,
,Team Totals,,,3,3,80,325,3,24,50.0,18,4.1,108.3,26.7,108,71,935,13.2,9,47,55.6,87,23.7,311.7,65.7,8.7,151,8.3,1260,12,4,
