Down & Yards to Go,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
1st & 10,422,10.00,7.34,220,971,4.4,2,24,138,199,69.3,2154,10.8,13,4,3,87,118.4,11.1,All Colts plays with 1st & 10 yds to go
1st & >10,19,16.16,8.84,5,16,3.2,0,0,9,14,64.3,152,10.9,0,0,0,4,100.9,10.9,All Colts plays with 1st & >10 yds to go
1st & <10,35,4.74,1.63,28,39,1.4,3,5,4,7,57.1,18,2.6,4,1,0,4,62.2,7.6,All Colts plays with 1st & <10 yds to go
2nd & 1-3,63,1.94,4.19,42,170,4.0,3,30,13,21,61.9,94,4.5,2,1,0,12,84.2,4.2,All Colts plays with 2nd & 1-3 yds to go
2nd & 4-6,82,5.05,5.76,35,173,4.9,1,15,30,47,63.8,299,6.4,6,1,0,24,112.5,8.0,All Colts plays with 2nd & 4-6 yds to go
2nd & 7-9,74,7.74,7.82,16,72,4.5,0,3,43,55,78.2,534,9.7,8,0,3,32,146.7,12.0,All Colts plays with 2nd & 7-9 yds to go
2nd & 10+,102,11.56,7.83,45,260,5.8,0,6,37,56,66.1,544,9.7,5,1,1,17,119.9,10.5,All Colts plays with 2nd & 10+ yds to go
3rd & 1-3,51,1.80,7.53,19,97,5.1,1,13,18,31,58.1,296,9.5,5,1,1,18,116.4,11.0,All Colts plays with 3rd & 1-3 yds to go
3rd & 4-6,44,5.00,4.98,5,22,4.4,0,2,21,37,56.8,213,5.8,4,1,2,20,98.1,6.4,All Colts plays with 3rd & 4-6 yds to go
3rd & 7-9,25,8.00,5.00,1,6,6.0,0,0,14,23,60.9,131,5.7,1,0,1,7,91.0,6.3,All Colts plays with 3rd & 7-9 yds to go
3rd & 10+,44,12.70,5.66,7,1,.1,0,0,23,34,67.6,267,7.9,1,0,3,11,101.0,7.8,All Colts plays with 3rd & 10+ yds to go
4th & 1-3,4,2.00,7.75,2,20,10.0,0,1,2,2,100,11,5.5,2,0,0,2,129.2,25.5,All Colts plays with 4th & 1-3 yds to go
4th & 4-6,1,4.00,19.00,0,0,,0,0,1,1,100,19,19.0,0,0,0,1,118.8,19.0,All Colts plays with 4th & 4-6 yds to go
4th & 7-9,0,,,,,,,,,,,,,,,,,,,All Colts plays with 4th & 7-9 yds to go
4th & 10+,2,12.50,2.00,2,4,2.0,0,0,0,0,,0,,0,0,0,0,,,All Colts plays with 4th & 10+ yds to go
3rd/4th & short,55,1.82,7.55,21,117,5.6,1,14,20,33,60.6,307,9.3,7,1,1,20,118.3,11.8,All Colts plays with 3rd/4th & short yds to go
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Down & Yards to Go,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
1st & 10,424,10.00,6.47,199,1020,5.1,5,34,151,213,70.9,1805,8.5,5,1,12,66,102.3,8.3,All Opponent plays with 1st & 10 yds to go
1st & >10,16,16.81,6.50,4,10,2.5,0,0,7,11,63.6,95,8.6,0,0,1,3,91.1,7.9,All Opponent plays with 1st & >10 yds to go
1st & <10,20,5.05,1.75,16,25,1.6,1,2,2,4,50,10,2.5,1,0,0,2,95.8,7.5,All Opponent plays with 1st & <10 yds to go
2nd & 1-3,67,1.93,4.82,31,150,4.8,1,18,18,35,51.4,182,5.2,2,1,1,16,73.8,4.9,All Opponent plays with 2nd & 1-3 yds to go
2nd & 4-6,70,5.03,4.64,39,171,4.4,1,14,18,26,69.2,185,7.1,1,0,5,16,102.2,6.6,All Opponent plays with 2nd & 4-6 yds to go
2nd & 7-9,81,7.88,4.81,29,170,5.9,0,6,28,45,62.2,265,5.9,2,0,7,13,93.3,5.9,All Opponent plays with 2nd & 7-9 yds to go
2nd & 10+,119,12.08,6.32,62,319,5.1,0,7,40,56,71.4,443,7.9,3,2,1,18,97.5,7.2,All Opponent plays with 2nd & 10+ yds to go
3rd & 1-3,69,1.81,3.16,38,79,2.1,3,19,17,29,58.6,151,5.2,3,3,2,17,67.5,2.5,All Opponent plays with 3rd & 1-3 yds to go
3rd & 4-6,50,4.96,7.68,1,11,11.0,0,1,30,45,66.7,398,8.8,6,3,4,27,106.3,7.8,All Opponent plays with 3rd & 4-6 yds to go
3rd & 7-9,40,8.05,6.38,2,17,8.5,0,1,20,33,60.6,280,8.5,1,1,5,16,85.4,6.7,All Opponent plays with 3rd & 7-9 yds to go
3rd & 10+,58,13.78,5.31,10,49,4.9,0,0,24,42,57.1,307,7.3,0,5,6,10,40.6,1.7,All Opponent plays with 3rd & 10+ yds to go
4th & 1-3,13,1.62,5.46,8,16,2.0,1,4,3,5,60,55,11.0,1,2,0,3,97.9,-3.0,All Opponent plays with 4th & 1-3 yds to go
4th & 4-6,2,4.00,6.50,0,0,,0,0,1,2,50,13,6.5,1,0,0,1,110.4,16.5,All Opponent plays with 4th & 4-6 yds to go
4th & 7-9,6,8.00,1.83,0,0,,0,0,1,6,16.7,11,1.8,0,1,0,1,.0,-5.7,All Opponent plays with 4th & 7-9 yds to go
4th & 10+,7,14.14,3.00,1,0,.0,0,0,4,5,80,32,6.4,0,0,1,0,93.3,5.3,All Opponent plays with 4th & 10+ yds to go
3rd/4th & short,82,1.78,3.52,46,95,2.1,4,23,20,34,58.8,206,6.1,4,5,2,20,76.0,1.7,All Opponent plays with 3rd/4th & short yds to go
