Down,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
1st,476,9.86,6.98,253,1026,4.1,5,29,151,220,68.6,2324,10.6,17,5,3,95,119.6,10.9,All Colts plays on 1st down
2nd,321,7.13,6.59,138,675,4.9,4,54,123,179,68.7,1471,8.2,21,3,4,85,125.7,9.6,All Colts plays on 2nd down
3rd,164,6.53,5.96,32,126,3.9,1,15,76,125,60.8,907,7.3,11,2,7,56,105.7,7.9,All Colts plays on 3rd down
4th,7,5.29,7.71,4,24,6.0,0,1,3,3,100,30,10.0,2,0,0,3,147.9,23.3,All Colts plays on 4th down
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Down,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
1st,460,10.02,6.27,219,1055,4.8,6,36,160,228,70.2,1910,8.4,6,1,13,71,102.4,8.2,All Opponent plays on 1st down
2nd,337,7.58,5.31,161,810,5.0,2,45,104,162,64.2,1075,6.6,8,3,14,63,92.0,6.3,All Opponent plays on 2nd down
3rd,217,6.88,5.37,51,156,3.1,3,21,91,149,61.1,1136,7.6,10,12,17,70,73.6,4.8,All Opponent plays on 3rd down
4th,28,6.29,4.14,9,16,1.8,1,4,9,18,50,111,6.2,2,3,1,5,66.9,.8,All Opponent plays on 4th down
