Snap Type & Huddle,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A
No Huddle,74,7.68,6.70,34,211,6.2,1,15,24,40,60,285,7.1,4,2,0,16,94.3,6.9
Huddle,894,8.41,6.68,393,1640,4.2,9,84,329,487,67.6,4447,9.1,47,8,14,223,121.8,10.0
Shotgun,273,8.57,7.47,13,35,2.7,0,2,173,252,68.7,2070,8.2,18,6,8,104,107.4,8.3
Under Center,695,8.27,6.37,414,1816,4.4,10,97,180,275,65.5,2662,9.7,33,4,6,135,130.5,11.2
,Rushing,Passing,,,,,,,,,,,,,,,,,
Snap Type & Huddle,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A
No Huddle,16,7.88,8.19,1,21,21.0,0,1,10,15,66.7,110,7.3,0,0,0,5,88.2,7.3
Huddle,1026,8.49,5.68,439,2016,4.6,12,105,354,542,65.3,4122,7.6,26,19,45,204,89.6,6.5
Shotgun,190,9.23,6.42,22,139,6.3,0,5,97,155,62.6,1180,7.6,4,6,13,59,78.4,5.9
Under Center,852,8.31,5.56,418,1898,4.5,12,101,267,402,66.4,3052,7.6,22,13,32,150,93.8,6.7
