Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr)
,Offensive Starters,,,,,
QB,Peyton Manning*+,28,6,16,"336 for 497, 4,557 yards, 49 td, 10 int, & 25 rushes for 38 yards and 0 td",
RB,Edgerrin James*,26,5,16,"334 rushes for 1,548 yards, 9 td, & 51 catches for 483 yards and 0 td",
WR,Marvin Harrison*,32,8,16,"86 catches for 1,113 yards, 15 td",
WR,Reggie Wayne,26,3,16,"77 catches for 1,210 yards, 12 td, & 1 rush for -4 yards and 0 td",
TE,Dallas Clark,25,1,13,"25 catches for 423 yards, 5 td",
TE,Marcus Pollard,32,9,13,"29 catches for 309 yards, 6 td",
LT,Tarik Glenn*,28,7,16,,
LG,Rick DeMulling,27,3,11,,
C,Jeff Saturday,29,5,14,1 fumble recovered,
RG,Jake Scott,23,Rook,9,1 fumble recovered,
RT,Ryan Diem,25,3,16,,
,Defensive Starters,,,,,
LDE,Raheem Brock,26,2,16,"6.5 sacks, 0 interceptions, 2 fumbles recovered",
LDT,Montae Reagor,27,5,16,"5.0 sacks, 0 interceptions, 1 fumble recovered",
RDT,Josh Williams,28,4,15,"0.0 sacks, 0 interceptions, 2 fumbles recovered",
RDE,Dwight Freeney*+,24,2,16,"16.0 sacks, 0 interceptions, 0 fumbles recovered",
LLB,David Thornton,26,2,15,"0.0 sacks, 1 interception, 0 fumbles recovered",
MLB,Rob Morris,29,4,14,"3.0 sacks, 1 interception, 0 fumbles recovered",
RLB,Cato June,25,1,16,"0.0 sacks, 2 interceptions, 2 fumbles recovered",
LCB,Nick Harper,30,3,14,"0.0 sacks, 3 interceptions, 1 fumble recovered",
RCB,Jason David,22,Rook,11,"0.0 sacks, 4 interceptions, 0 fumbles recovered",
SS,Mike Doss,23,1,9,"1.0 sacks, 2 interceptions, 0 fumbles recovered",
FS,Idrees Bashir,26,3,13,"0.0 sacks, 0 interceptions, 1 fumble recovered",
