Yards to Go,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
1-3,130,1.88,5.25,73,287,3.9,5,45,35,56,62.5,405,7.2,11,2,1,34,109.0,9.4,All Colts plays with 1-3 yds to go
4-6,139,5.00,5.24,50,213,4.3,3,21,52,87,59.8,531,6.1,10,2,2,45,106.1,7.2,All Colts plays with 4-6 yds to go
7-9,110,7.81,6.72,25,99,4.0,0,3,59,81,72.8,679,8.4,11,1,4,41,132.2,10.0,All Colts plays with 7-9 yds to go
10+,589,10.68,7.33,279,1252,4.5,2,30,207,303,68.3,3117,10.3,19,5,7,119,115.9,10.6,All Colts plays with 10+ yds to go
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Yards to Go,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
1-3,153,1.86,4.02,80,246,3.1,6,42,39,70,55.7,390,5.6,7,6,3,37,69.3,3.6,All Opponent plays with 1-3 yds to go
4-6,133,4.96,5.59,48,195,4.1,1,16,50,76,65.8,604,7.9,8,3,9,45,108.7,7.4,All Opponent plays with 4-6 yds to go
7-9,132,7.94,5.05,36,198,5.5,0,7,49,84,58.3,556,6.6,3,2,12,30,80.3,5.5,All Opponent plays with 7-9 yds to go
10+,624,10.97,6.30,276,1398,5.1,5,41,226,327,69.1,2682,8.2,8,8,21,97,91.8,7.1,All Opponent plays with 10+ yds to go
