Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,YdsR,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1,Raheem Brock,26,LDE,16,16,0,0,0,0,4,1,0,2,0,0,6.5,47,36,11,13,0,
2,Ryan Diem,25,RT,16,16,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,
3,Dwight Freeney,24,RDE,16,16,0,0,0,0,3,4,0,0,0,0,16.0,36,33,3,17,0,"PB,AP-1,AP DPoY-3"
4,Marvin Harrison,32,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,"PB,AP-2"
5,Edgerrin James,26,RB,16,16,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,0,"PB,AP-2"
6,Cato June,25,RLB,16,16,2,71,0,71,9,0,0,2,-1,0,0.0,110,84,26,6,0,
7,Peyton Manning,28,QB,16,16,0,0,0,0,0,0,5,3,-3,0,0.0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
8,Montae Reagor,27,LDT,16,16,0,0,0,0,2,1,0,1,0,0,5.0,43,35,8,11,0,
9,David Thornton,26,LLB,16,15,1,5,0,5,1,2,0,0,0,0,0.0,94,71,23,4,0,
10,Josh Williams,28,RDT,16,15,0,0,0,0,1,1,0,2,0,0,0.0,36,29,7,1,0,
11,Nick Harper,30,LCB,14,14,3,12,0,12,8,0,0,1,15,0,0.0,77,58,19,1,0,
12,Rob Morris,29,MLB,15,14,1,17,0,17,2,1,0,0,0,0,3.0,77,54,23,5,0,
13,Jeff Saturday,29,C,14,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
14,Idrees Bashir,26,FS,13,13,0,0,0,0,1,1,0,1,0,0,0.0,58,41,17,2,0,
15,Dallas Clark,25,TE,15,13,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,
16,Jason David,22,RCB,16,11,4,36,1,34,15,1,0,0,0,0,0.0,52,48,4,2,0,
17,Rick DeMulling,27,LG,11,11,0,0,0,0,,0,1,0,-2,0,0.0,,,,,0,
18,Mike Doss,23,SS,10,9,2,32,0,32,2,3,0,0,0,0,1.0,49,42,7,3,0,
19,Jake Scott,23,RG,12,9,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
20,Cory Bird,26,DB,13,4,0,0,0,0,0,1,0,0,0,0,0.0,45,35,10,0,0,
21,Bob Sanders,23,DB,6,4,0,0,0,0,1,0,0,2,37,1,0.0,36,31,5,0,0,
22,Donald Strickland,24,DB,4,4,0,0,0,0,0,0,0,0,0,0,0.0,20,15,5,0,0,
23,Ben Hartsock,24,TE,16,3,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,
24,Joe Jefferson,24,DB,9,3,1,0,0,0,3,2,0,0,0,0,0.0,32,27,5,0,0,
25,Brandon Stokley,28,WR,16,3,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0,0,
26,Anthony Floyd,23,DB,11,2,0,0,0,0,2,0,0,0,0,0,0.0,40,27,13,0,0,
27,Gary Brackett,24,LB,15,1,2,2,0,2,3,0,0,0,0,0,0.0,37,25,12,1,0,
28,Von Hutchins,23,DB,16,1,1,77,1,77,2,0,0,0,0,0,0.0,50,37,13,1,0,
29,Robert Mathis,23,DE,16,1,0,0,0,0,0,6,0,3,26,0,10.5,36,32,4,5,0,
30,Jim Nelson,29,LB,15,1,1,0,0,0,5,0,0,2,0,0,0.0,69,52,17,1,0,
31,Waine Bacon,25,DB,11,0,1,0,0,0,3,0,0,0,0,0,0.0,16,13,3,2,0,
32,Jason Baker,26,P,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,,0,
33,Matt Bryant,29,K,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
34,Gilbert Gardner,22,LB,11,0,0,0,0,0,1,0,0,0,0,0,0.0,18,11,7,1,0,
35,Kendyll Pope,23,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,
36,Brad Pyatt,24,WR,8,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
37,Dominic Rhodes,25,RB,16,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,
38,Nick Rogers,25,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,
39,Gerome Sapp,23,DB,13,0,0,0,0,0,0,0,0,0,0,0,0.0,30,25,5,0,0,
40,Brad Scioli,28,DE,9,0,0,0,0,0,0,1,0,0,0,0,2.0,12,7,5,2,0,
41,Hunter Smith,27,P,16,0,0,0,0,0,0,0,0,1,0,0,0.0,2,0,2,0,0,
42,Justin Snow,28,LS,16,0,0,0,0,0,0,1,0,0,0,0,0.0,5,3,2,0,0,
43,Jim Sorgi,24,QB,4,0,0,0,0,0,0,0,1,1,-5,0,0.0,0,0,0,0,0,
44,Josh Thomas,23,DE,11,0,0,0,0,0,0,0,0,0,0,0,1.0,12,11,1,1,0,
45,Larry Tripplett,25,DT,16,0,0,0,0,0,0,1,0,0,0,0,0.0,29,26,3,4,0,
46,Mike Vanderjagt,34,K,15,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
47,Keyon Whiteside,24,LB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
,Team Totals,,,16,16,19,252,2,77,68,27,19,27,67,1,45.0,1194,927,267,83,0,
