Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,YdsR,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1,Raheem Brock,26,LDE,2,2,0,0,0,0,2,0,0,0,0,0,1.0,12,9,3,5,0,
2,Jason David,22,RCB,2,2,0,0,0,0,4,0,0,0,0,0,0.0,6,3,3,0,0,
3,Cato June,25,RLB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,0,0,
4,Montae Reagor,27,LDT,2,2,0,0,0,0,1,0,0,0,0,0,1.0,6,4,2,1,0,
5,Bob Sanders,23,DB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,13,8,5,0,0,
6,Idrees Bashir,26,FS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,
7,Gary Brackett,24,LB,2,1,0,0,0,0,1,0,0,0,0,0,0.0,16,13,3,0,0,
8,Dwight Freeney,24,RDE,1,1,0,0,0,0,0,0,0,0,0,0,1.0,2,1,1,1,0,
9,Nick Harper,30,LCB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,5,5,0,1,0,
10,Von Hutchins,23,DB,2,1,0,0,0,0,1,0,0,0,0,0,0.0,6,5,1,0,0,
11,Peyton Manning,28,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,,,,0,
12,Jeff Saturday,29,C,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0,,,,0,
13,Brad Scioli,28,DE,2,1,0,0,0,0,0,0,0,0,0,0,1.0,4,3,1,1,0,
14,David Thornton,26,LLB,2,1,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,0,
15,Reggie Wayne,26,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
16,Josh Williams,28,RDT,2,1,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0,0,
17,Waine Bacon,25,DB,2,0,,,,,2,0,0,0,0,0,0.0,2,2,0,0,,
18,Cory Bird,26,DB,2,0,,,,,0,0,0,0,0,0,0.0,3,2,1,0,,
19,Mike Doss,23,SS,2,0,1,0,0,0,1,0,0,0,0,0,0.0,3,2,1,0,0,
20,Ben Hartsock,24,TE,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
21,Joe Jefferson,24,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,0,1,0,,
22,Robert Mathis,23,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,0,1,0,,
23,Rob Morris,29,MLB,1,0,,,,,1,0,0,0,0,0,0.0,11,6,5,0,,
24,Dominic Rhodes,25,RB,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,,,0,0,
25,Nick Rogers,25,LB,2,0,,,,,0,0,0,0,0,0,0.0,8,6,2,0,,
26,Gerome Sapp,23,DB,2,0,,,,,0,0,0,0,0,0,0.0,6,6,0,0,,
27,Hunter Smith,27,P,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,
28,Justin Snow,28,LS,2,0,,,,,0,1,0,0,0,0,0.0,3,2,1,0,,
29,Larry Tripplett,25,DT,2,0,0,0,0,0,0,0,0,0,0,0,2.0,5,5,0,1,0,
,Team Totals,,,2,2,1,0,0,0,14,1,3,1,0,0,6.0,142,102,40,10,0,
