Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,YdsR,Y/R,TDR,1DR,Succ%R,LngR,R/G,Y/GR,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Reggie Wayne,26,WR,2,2,0,0,0,0,,,,0.0,0.0,15,13,256,19.7,2,10,86.7,49,6.5,128.0,86.7,17.1,13,19.7,256,2,1,
2,Edgerrin James,26,RB,2,2,32,102,1,5,43.8,11,3.2,51.0,16.0,14,9,80,8.9,0,5,64.3,16,4.5,40.0,64.3,5.7,41,4.4,182,1,0,
3,Dallas Clark,25,TE,2,2,0,0,0,0,,,,0.0,0.0,12,8,138,17.3,1,5,58.3,31,4.0,69.0,66.7,11.5,8,17.3,138,1,0,
4,Brandon Stokley,28,WR,2,0,0,0,0,0,,,,0.0,0.0,14,10,97,9.7,0,8,64.3,21,5.0,48.5,71.4,6.9,10,9.7,97,0,0,
5,Marvin Harrison,32,WR,2,2,0,0,0,0,,,,0.0,0.0,11,9,95,10.6,0,5,81.8,24,4.5,47.5,81.8,8.6,9,10.6,95,0,0,
6,Marcus Pollard,32,TE,2,2,0,0,0,0,,,,0.0,0.0,6,3,30,10.0,0,1,16.7,25,1.5,15.0,50.0,5.0,3,10.0,30,0,0,
7,Dominic Rhodes,25,RB,2,0,5,12,1,1,60.0,6,2.4,6.0,2.5,1,1,-2,-2.0,0,0,0.0,-2,0.5,-1.0,100.0,-2.0,6,1.7,10,1,1,
8,Peyton Manning,28,QB,2,2,2,8,1,1,100.0,7,4.0,4.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,2,4.0,8,1,1,
9,James Mungro,26,RB,1,0,0,0,0,0,,,,0.0,0.0,1,1,2,2.0,1,1,100.0,2,1.0,2.0,100.0,2.0,1,2.0,2,1,0,
10,Troy Walters,28,WR,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,2,2,39,122,3,7,48.7,11,3.1,61.0,19.5,75,54,696,12.9,4,35,65.3,49,27.0,348.0,72.0,9.3,93,8.8,818,7,3,
