Rk,Player,Age,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1,Mike Vanderjagt,34,K,15,0,0,0,0,0,0,0,0,0,0,59,60,20,25,0,119,7.9,
2,Marvin Harrison,32,WR,16,16,0,15,0,0,0,0,0,15,0,0,0,0,0,0,90,5.6,"PB,AP-2"
3,Reggie Wayne,26,WR,16,16,0,12,0,0,0,0,0,12,0,0,0,0,0,0,72,4.5,
4,Brandon Stokley,28,WR,16,3,0,10,0,0,0,0,0,10,0,0,0,0,0,0,60,3.8,
5,Edgerrin James,26,RB,16,16,9,0,0,0,0,0,0,9,1,0,0,0,0,0,56,3.5,"PB,AP-2"
6,Marcus Pollard,32,TE,13,13,0,6,0,0,0,0,0,6,0,0,0,0,0,0,36,2.8,
7,Dallas Clark,25,TE,15,13,0,5,0,0,0,0,0,5,0,0,0,0,0,0,30,2.0,
8,James Mungro,26,RB,15,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.2,
9,Dominic Rhodes,25,RB,16,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,12,0.8,
10,Jason David,22,RCB,16,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0.4,
11,Von Hutchins,23,DB,16,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0.4,
12,Rob Morris,29,MLB,15,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0.4,
13,Bob Sanders,23,DB,6,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,1.0,
14,Matt Bryant,29,K,1,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,5,5.0,
,Team Totals,,,16,,10,51,0,1,1,2,1,66,1,64,65,20,26,0,522,,
