Rk,Gtm,Week,Date,Day,,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,YdsR,AttR,YdsRR,TDR,Y/AR,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,YdsRRR,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,PenR,YdsRRRR,FL,Int,TO,ToP
1,1,1,2004-09-09,Thu,@,NWE,L,24,27,,16,29,55.2,244,2,8.4,8.24,91.7,1,12,42,202,1,4.8,72,446,6.19,2,1,3,3,2,82,11,13,4,28,8,13,1,1,3,20,2,1,3,31:41
2,2,2,2004-09-19,Sun,@,TEN,W,31,17,,24,33,72.7,244,2,7.4,8.61,113.7,1,10,23,129,2,5.6,57,373,6.54,1,1,4,4,3,147,13,7,7,27,4,9,0,0,2,21,1,0,1,25:05
3,3,3,2004-09-26,Sun,,GNB,W,45,31,,28,40,70.0,393,5,9.8,12.33,140.9,0,0,24,60,1,2.5,64,453,7.08,1,1,6,6,4,171,18,4,4,26,3,8,0,0,9,70,0,0,0,28:52
4,4,4,2004-10-03,Sun,@,JAX,W,24,17,,20,29,69.0,220,2,7.6,7.41,99.8,0,0,27,117,1,4.3,56,337,6.02,1,1,3,3,3,144,14,7,2,23,3,8,0,0,3,26,0,1,1,24:27
5,5,5,2004-10-10,Sun,,OAK,W,35,14,,16,26,61.5,188,3,7.2,7.81,105.9,1,10,40,150,1,3.8,67,338,5.04,1,0,5,5,3,156,12,8,5,25,6,11,0,0,2,20,0,1,1,35:01
6,6,7,2004-10-24,Sun,,JAX,L,24,27,,27,40,67.5,359,3,9.0,10.48,120.7,1,9,18,87,0,4.8,59,446,7.56,1,1,3,3,3,144,17,5,1,23,6,10,0,0,12,62,2,0,2,25:26
7,7,8,2004-10-31,Sun,@,KAN,L,35,45,,25,44,56.8,472,5,10.7,11.98,122.5,0,0,12,33,0,2.8,56,505,9.02,1,0,5,5,4,178,18,2,3,23,3,10,1,2,7,40,0,1,1,22:27
8,8,9,2004-11-08,Mon,,MIN,W,31,28,,23,29,79.3,264,4,9.1,11.86,144.2,1,4,31,144,0,4.6,61,408,6.69,1,1,4,4,3,123,18,6,2,26,5,10,1,1,8,65,0,0,0,34:12
9,9,10,2004-11-14,Sun,,HOU,W,49,14,,18,27,66.7,312,5,11.6,11.93,114.5,1,8,20,86,0,4.3,48,398,8.29,1,0,7,7,3,123,13,3,1,17,5,9,0,0,11,85,0,2,2,24:19
10,10,11,2004-11-21,Sun,@,CHI,W,41,10,,17,28,60.7,211,4,7.5,8.79,108.8,0,0,39,275,1,7.1,67,486,7.25,2,2,5,5,2,70,13,15,3,31,4,10,0,1,10,91,0,1,1,35:37
11,11,12,2004-11-25,Thu,@,DET,W,41,9,,24,31,77.4,243,6,7.8,11.71,138.8,0,0,29,113,0,3.9,60,356,5.93,0,0,6,5,5,209,16,6,2,24,4,10,0,1,5,40,0,0,0,31:12
12,12,13,2004-12-05,Sun,,TEN,W,51,24,,25,34,73.5,417,3,12.3,11.38,119.4,1,8,28,150,2,5.4,63,567,9.00,3,3,6,6,0,0,19,7,3,29,3,8,0,0,7,88,1,2,3,26:55
13,13,14,2004-12-12,Sun,@,HOU,W,23,14,,26,33,78.8,281,2,8.5,9.73,122.3,2,17,30,101,0,3.4,65,382,5.88,3,3,2,2,3,113,18,3,1,22,4,11,0,0,8,50,0,0,0,32:19
14,14,15,2004-12-19,Sun,,BAL,W,20,10,,20,33,60.6,249,1,7.5,8.15,94.1,0,0,24,67,1,2.8,57,316,5.54,3,2,2,2,6,292,11,4,2,17,5,13,0,0,5,28,0,0,0,28:38
15,15,16,2004-12-26,Sun,,SDG,W,34,31,OT,27,44,61.4,360,2,8.2,8.07,93.0,4,23,25,104,0,4.2,73,464,6.36,5,4,2,2,2,98,21,3,6,30,5,13,1,1,10,70,0,1,1,31:34
16,16,17,2005-01-02,Sun,@,DEN,L,14,33,,17,27,63.0,166,2,6.1,7.63,104.9,1,8,15,34,0,2.3,43,200,4.65,0,0,2,2,8,393,6,1,1,8,2,11,0,0,4,25,1,0,1,22:16
,,,,,,,12-4,522,351,,353,527,67.0,4623,51,8.8,9.85,118.8,14,109,427,1852,10,4.3,968,6475,6.69,26,20,65,64,54,2443,238,94,47,379,70,164,4,7,106,801,7,10,17,460:01
