Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,YdsR,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1,Nick Cross,23,SS,17,17,3,25,0,20,5,1,0,0,0,0,1.0,146,87,59,6,1,0,
2,Zaire Franklin,28,LLB,17,17,2,4,0,4,6,5,0,0,0,0,3.5,173,93,80,11,4,0,"PB,AP-2,AP DPoY-17"
3,Jaylon Jones,22,LCB,17,17,2,5,0,5,12,1,0,0,0,0,0.0,100,66,34,3,0,0,
4,Grover Stewart,31,NT,17,17,0,0,0,0,3,1,0,1,0,0,3.5,74,29,45,10,6,0,
5,Julian Blackmon,26,FS,16,16,3,27,0,17,4,0,0,1,0,0,0.5,86,62,24,1,1,0,
6,Kenny Moore,29,RCB,15,15,3,28,0,12,7,0,0,1,38,1,0.5,78,51,27,4,2,0,
7,Kwity Paye,26,LDE,15,15,0,0,0,0,1,1,0,0,0,0,8.0,41,29,12,10,12,0,
8,E.J. Speed,29,MLB,15,15,1,12,0,12,5,0,0,0,0,0,0.0,142,93,49,7,1,0,
9,Dayo Odeyingbo,25,RDE,17,14,0,0,0,0,0,2,0,1,0,0,3.0,31,13,18,7,17,0,
10,Michael Pittman Jr.,27,WR,16,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
11,Jonathan Taylor,25,RB,14,13,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-19"
12,DeForest Buckner,30,DT,12,11,0,0,0,0,1,0,0,0,0,0,6.5,61,24,37,8,14,0,
13,Anthony Richardson,22,QB,11,11,0,0,0,0,0,0,9,6,-14,0,0.0,0,0,0,0,0,0,AP CPoY-25
14,Josh Downs,23,WR,14,8,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
15,Samuel Womack,25,CB,17,8,2,4,0,4,9,0,0,0,0,0,0.0,36,26,10,0,0,0,
16,Adonai Mitchell,22,WR,17,7,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
17,Taven Bryan,28,DT,17,6,0,0,0,0,1,0,0,1,0,0,1.0,20,11,9,3,2,0,
18,Jaylon Carlies,23,LB,10,6,0,0,0,0,1,0,0,0,0,0,1.0,36,24,12,2,1,0,
19,Joe Flacco,39,QB,8,6,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,
20,Kylen Granson,26,TE,17,6,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
21,Andrew Ogletree,26,TE,17,6,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0,0,0,
22,Tanor Bortolini,22,G,12,5,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
23,Grant Stuard,26,LB,17,5,0,0,0,0,0,0,0,0,0,0,0.0,40,25,15,2,0,0,
24,Tyquan Lewis,29,DE,10,4,0,0,0,0,0,1,0,0,0,0,1.5,24,14,10,2,4,0,
25,Ashton Dulin,27,WR,15,2,0,0,0,0,0,0,0,0,0,0,0.0,10,8,2,0,0,0,
26,Julius Brents,24,CB,2,1,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,0,0,0,
27,Chris Lammons,28,CB,14,1,0,0,0,0,0,1,0,2,3,0,1.0,12,10,2,1,1,0,
28,Laiatu Latu,24,DE,17,1,0,0,0,0,1,3,0,1,0,0,4.0,32,16,16,5,12,0,AP DRoY-12
29,Rodney Thomas II,26,S,17,1,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
30,Adetomiwa Adebawore,23,DT,16,0,0,0,0,0,0,0,0,0,0,0,1.0,7,5,2,3,2,0,
31,Raekwon Davis,27,DT,17,0,0,0,0,0,1,0,0,0,0,0,0.0,15,7,8,1,0,0,
32,Trevor Denbow,26,S,8,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
33,Dallis Flowers,27,CB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,9,9,0,1,0,0,
34,Tre Flowers,29,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
35,Matt Gay,30,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
36,Tyler Goodson,24,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
37,Adam Gotsis,32,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,0,2,0,
38,Ronnie Harrison,27,S,10,0,0,0,0,0,0,1,0,0,0,0,0.0,2,2,0,0,0,0,
39,Kelvin Joseph,25,CB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
40,Isaiah Land,24,DE,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,1,0,
41,Cameron McGrone,24,LB,9,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,
42,Segun Olubi,25,LB,17,0,0,0,0,0,0,1,0,1,18,0,0.0,12,6,6,0,0,0,
43,Luke Rhodes,32,LS,17,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
,Team Totals,,,17,17,16,105,0,20,57,18,20,18,45,1,36.0,1233,737,496,88,83,0,
