Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2024-09-08,,HOU,"L, 27-29",2,9,pass,Stefon Diggs 9 yard pass from C.J. Stroud (run failed)
2,2024-09-08,,HOU,"L, 27-29",4,3,rush,Joe Mixon 3 yard rush (Ka'imi Fairbairn kick)
3,2024-09-08,,HOU,"L, 27-29",4,2,pass,Stefon Diggs 2 yard pass from C.J. Stroud (Ka'imi Fairbairn kick)
4,2024-09-15,@,GNB,"L, 10-16",1,14,pass,Dontayvion Wicks 14 yard pass from Malik Willis (Brayden Narveson kick)
5,2024-09-22,,CHI,"W, 21-16",4,1,pass,Rome Odunze 1 yard pass from Caleb Williams (pass failed)
6,2024-09-22,,CHI,"W, 21-16",4,6,pass,Cole Kmet 6 yard pass from Caleb Williams (Cairo Santos kick)
7,2024-09-29,,PIT,"W, 27-24",3,5,rush,Justin Fields 5 yard rush (Chris Boswell kick)
8,2024-09-29,,PIT,"W, 27-24",4,2,rush,Justin Fields 2 yard rush (Chris Boswell kick)
9,2024-09-29,,PIT,"W, 27-24",4,8,pass,Pat Freiermuth 8 yard pass from Justin Fields (Chris Boswell kick)
10,2024-10-06,@,JAX,"L, 34-37",2,85,pass,Brian Thomas 85 yard pass from Trevor Lawrence (Cam Little kick)
11,2024-10-06,@,JAX,"L, 34-37",3,19,rush,Tank Bigsby 19 yard rush (Cam Little kick)
12,2024-10-06,@,JAX,"L, 34-37",4,4,pass,Brenton Strange 4 yard pass from Trevor Lawrence (Cam Little kick)
13,2024-10-06,@,JAX,"L, 34-37",4,65,rush,Tank Bigsby 65 yard rush (Cam Little kick)
14,2024-10-13,@,TEN,"W, 20-17",1,9,pass,Nick Westbrook-Ikhine 9 yard pass from Will Levis (Nick Folk kick)
15,2024-10-13,@,TEN,"W, 20-17",3,23,rush,Tony Pollard 23 yard rush (Nick Folk kick)
16,2024-10-20,,MIA,"W, 16-10",1,10,pass,Jonnu Smith 10 yard pass from Tyler Huntley (Jason Sanders kick)
17,2024-10-27,@,HOU,"L, 20-23",2,14,rush,Joe Mixon 14 yard rush (Ka'imi Fairbairn kick)
18,2024-10-27,@,HOU,"L, 20-23",2,7,pass,Tank Dell 7 yard pass from C.J. Stroud (Ka'imi Fairbairn kick)
19,2024-11-03,@,MIN,"L, 13-21",3,4,pass,Jordan Addison 4 yard pass from Sam Darnold (Will Reichard kick)
20,2024-11-03,@,MIN,"L, 13-21",3,7,pass,Jalen Nailor 7 yard pass from Sam Darnold (Will Reichard kick)
21,2024-11-03,@,MIN,"L, 13-21",4,14,pass,Josh Oliver 14 yard pass from Sam Darnold (Will Reichard kick)
22,2024-11-10,,BUF,"L, 20-30",1,23,interception,Taron Johnson 23 yard interception return (Tyler Bass kick)
23,2024-11-10,,BUF,"L, 20-30",2,13,rush,Josh Allen 13 yard rush (Tyler Bass kick)
24,2024-11-10,,BUF,"L, 20-30",4,2,rush,James Cook 2 yard rush (Tyler Bass kick)
25,2024-11-17,@,NYJ,"W, 28-27",2,29,pass,Breece Hall 29 yard pass from Aaron Rodgers (Anders Carlson kick)
26,2024-11-17,@,NYJ,"W, 28-27",3,18,rush,Breece Hall 18 yard rush (Anders Carlson kick)
27,2024-11-17,@,NYJ,"W, 28-27",4,11,pass,Kenny Yeboah 11 yard pass from Aaron Rodgers (Anders Carlson kick)
28,2024-11-24,,DET,"L, 6-24",2,1,rush,Jahmyr Gibbs 1 yard rush (Jake Bates kick)
29,2024-11-24,,DET,"L, 6-24",2,6,rush,David Montgomery 6 yard rush (Jake Bates kick)
30,2024-11-24,,DET,"L, 6-24",3,5,rush,Jahmyr Gibbs 5 yard rush (Jake Bates kick)
31,2024-12-01,@,NWE,"W, 25-24",2,16,pass,Austin Hooper 16 yard pass from Drake Maye (Joey Slye kick)
32,2024-12-01,@,NWE,"W, 25-24",4,11,rush,Antonio Gibson 11 yard rush (Kayshon Boutte pass from Drake Maye)
33,2024-12-15,@,DEN,"L, 13-31",2,13,pass,Adam Trautman 13 yard pass from Bo Nix (Wil Lutz kick)
34,2024-12-15,@,DEN,"L, 13-31",4,15,pass,Nate Adkins 15 yard pass from Bo Nix (Wil Lutz kick)
35,2024-12-15,@,DEN,"L, 13-31",4,50,fumble,Nik Bonitto 50 yard fumble return (Wil Lutz kick)
36,2024-12-15,@,DEN,"L, 13-31",4,20,pass,Courtland Sutton 20 yard pass from Bo Nix (Wil Lutz kick)
37,2024-12-22,,TEN,"W, 38-30",1,38,pass,Calvin Ridley 38 yard pass from Mason Rudolph (Brayden Narveson kick)
38,2024-12-22,,TEN,"W, 38-30",3,11,rush,Tyjae Spears 11 yard rush (Tony Pollard run)
39,2024-12-22,,TEN,"W, 38-30",4,6,pass,Nick Westbrook-Ikhine 6 yard pass from Mason Rudolph (Brayden Narveson kick)
40,2024-12-22,,TEN,"W, 38-30",4,2,rush,Tyjae Spears 2 yard rush (Chigoziem Okonkwo pass from Mason Rudolph)
41,2024-12-29,@,NYG,"L, 33-45",1,31,pass,Malik Nabers 31 yard pass from Drew Lock (Graham Gano kick)
42,2024-12-29,@,NYG,"L, 33-45",2,32,pass,Darius Slayton 32 yard pass from Drew Lock (Graham Gano kick)
43,2024-12-29,@,NYG,"L, 33-45",2,5,pass,Wan'Dale Robinson 5 yard pass from Drew Lock (Graham Gano kick)
44,2024-12-29,@,NYG,"L, 33-45",3,100,kickoff,Ihmir Smith-Marsette 100 yard kickoff return (Graham Gano kick)
