Rk,Player,Age,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1,Matt Gay,30,K,16,0,0,0,0,0,0,0,0,0,0,0,33,33,31,37,0,126,7.9,
2,Jonathan Taylor,25,RB,14,13,11,1,0,0,0,0,0,12,0,0,0,0,0,0,0,72,5.1,"PB,AP CPoY-19"
3,Alec Pierce,24,WR,16,13,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,42,2.6,
4,Anthony Richardson,22,QB,11,11,6,0,0,0,0,0,0,6,1,0,0,0,0,0,0,38,3.5,AP CPoY-25
5,Josh Downs,23,WR,14,8,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.1,
6,Michael Pittman Jr.,27,WR,16,14,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.1,
7,Tyler Goodson,24,RB,16,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0.8,
8,Trey Sermon,25,RB,17,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0.7,
9,Mo Alie-Cox,31,TE,17,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,
10,Ashton Dulin,27,WR,15,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,
11,Kenny Moore,29,RCB,15,15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.4,
12,Andrew Ogletree,26,TE,17,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,
13,Spencer Shrader,25,K,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3.0,
,Team Totals,,,17,,20,20,0,0,1,0,0,41,1,0,36,36,31,37,0,377,,
