Rk,Gtm,Week,Date,Day,,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,YdsR,AttR,YdsRR,TDR,Y/AR,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,YdsRRR,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,PenR,YdsRRRR,FL,Int,TO,ToP
1,1,1,2024-09-08,Sun,,HOU,L,27,29,,24,32,75.0,204,2,6.4,7.63,112.0,4,30,40,213,1,5.3,76,417,5.49,3,3,2,2,2,56,13,11,2,26,7,14,2,2,5,30,0,0,0,40:00
2,2,2,2024-09-15,Sun,@,GNB,L,10,16,,12,14,85.7,122,1,8.7,10.14,126.8,0,0,53,261,0,4.9,67,383,5.72,4,3,1,1,3,139,6,13,0,19,10,17,0,0,6,50,1,0,1,40:11
3,3,3,2024-09-22,Sun,,CHI,W,21,16,,33,52,63.5,332,2,6.4,5.42,78.4,4,31,28,63,0,2.3,84,395,4.70,2,1,1,1,3,127,18,4,4,26,9,21,4,5,4,25,1,2,3,35:01
4,4,4,2024-09-29,Sun,,PIT,W,27,24,,22,34,64.7,282,1,8.3,8.88,100.4,4,30,30,122,2,4.1,68,404,5.94,1,1,3,3,3,103,11,10,2,23,6,13,0,2,6,53,2,0,2,31:07
5,5,5,2024-10-06,Sun,@,JAX,L,34,37,,28,34,82.4,371,2,10.9,10.76,119.5,0,0,23,126,2,5.5,57,497,8.72,3,3,4,4,2,102,13,6,1,20,3,10,1,2,3,25,1,1,2,28:28
6,6,6,2024-10-13,Sun,@,TEN,W,20,17,,16,27,59.3,95,1,3.5,2.59,63.0,0,0,28,146,1,5.2,55,241,4.38,1,1,2,2,5,289,7,7,2,16,4,11,1,1,11,113,0,1,1,30:32
7,7,7,2024-10-20,Sun,,MIA,W,16,10,,15,26,57.7,149,1,5.7,6.50,86.9,2,12,40,188,0,4.7,68,337,4.96,2,1,1,1,6,286,8,9,1,18,6,15,0,1,6,50,2,0,2,31:11
8,8,8,2024-10-27,Sun,@,HOU,L,20,23,,25,37,67.6,267,1,7.2,7.76,97.5,2,18,29,96,1,3.3,68,363,5.34,3,3,2,2,6,257,15,5,1,21,4,13,0,0,5,30,1,0,1,35:20
9,9,9,2024-11-03,Sun,@,MIN,L,13,21,,29,35,82.9,282,3,8.1,7.20,105.0,4,30,32,133,0,4.2,71,415,5.85,2,0,3,3,2,83,17,10,2,29,6,12,1,1,3,41,1,2,3,36:54
10,10,10,2024-11-10,Sun,,BUF,L,20,30,,22,37,59.5,280,0,7.6,5.14,60.6,2,0,31,135,2,4.4,70,415,5.93,3,3,3,3,2,109,11,9,1,21,7,14,2,3,8,54,0,2,2,32:08
11,11,11,2024-11-17,Sun,@,NYJ,W,28,27,,22,29,75.9,162,2,5.6,6.97,111.6,3,22,20,91,1,4.6,52,253,4.87,2,2,3,3,5,277,7,3,0,10,4,13,0,1,2,14,0,0,0,25:43
12,12,12,2024-11-24,Sun,,DET,L,6,24,,26,36,72.2,253,0,7.0,7.03,91.6,3,16,33,137,3,4.2,72,390,5.42,1,1,3,3,4,192,15,10,1,26,9,15,0,1,5,45,0,0,0,37:01
13,13,13,2024-12-01,Sun,@,NWE,W,25,24,,24,30,80.0,222,1,7.4,6.57,94.7,4,16,31,200,1,6.5,65,422,6.49,5,3,1,1,1,38,14,9,0,23,6,11,0,0,7,88,0,1,1,34:12
14,14,15,2024-12-15,Sun,@,DEN,L,13,31,,20,33,60.6,121,3,3.7,1.39,60.3,1,9,27,72,0,2.7,61,193,3.16,1,1,4,4,6,287,5,5,3,13,6,17,0,0,6,58,0,3,3,28:28
15,15,16,2024-12-22,Sun,,TEN,W,38,30,,23,34,67.6,242,2,7.1,4.32,71.0,1,10,22,65,2,3.0,57,307,5.39,1,0,2,2,4,221,11,4,3,18,5,11,0,0,4,35,0,3,3,26:59
16,16,17,2024-12-29,Sun,@,NYG,L,33,45,,17,23,73.9,309,4,13.4,16.91,155.3,0,0,30,80,1,2.7,53,389,7.34,1,1,6,6,3,146,10,3,2,15,7,13,0,1,7,94,0,0,0,26:37
17,17,18,2025-01-05,Sun,,JAX,W,26,23,OT,20,32,62.5,206,1,6.4,5.66,78.4,2,19,34,113,1,3.3,68,319,4.69,3,3,2,2,4,200,10,9,0,19,5,14,0,1,4,57,0,1,1,30:51
,,,,,,,8-9,377,427,,378,545,69.4,3899,27,7.2,6.82,94.0,36,243,531,2241,18,4.2,1112,6140,5.52,38,30,43,43,61,2912,191,127,25,343,104,234,11,21,92,862,9,16,25,550:43
