Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2024-09-08,,HOU,"L, 27-29",1,60,pass,Alec Pierce 60 yard pass from Anthony Richardson (Spencer Shrader kick)
2,2024-09-08,,HOU,"L, 27-29",3,5,rush,Jonathan Taylor 5 yard rush (run failed)
3,2024-09-08,,HOU,"L, 27-29",4,54,pass,Ashton Dulin 54 yard pass from Anthony Richardson (Spencer Shrader kick)
4,2024-09-08,,HOU,"L, 27-29",4,3,rush,Anthony Richardson 3 yard rush (Spencer Shrader kick)
5,2024-09-15,@,GNB,"L, 10-16",4,4,pass,Alec Pierce 4 yard pass from Anthony Richardson (Matt Gay kick)
6,2024-09-22,,CHI,"W, 21-16",2,29,rush,Jonathan Taylor 29 yard rush (Matt Gay kick)
7,2024-09-22,,CHI,"W, 21-16",3,1,rush,Trey Sermon 1 yard rush (Matt Gay kick)
8,2024-09-22,,CHI,"W, 21-16",4,1,rush,Jonathan Taylor 1 yard rush (Matt Gay kick)
9,2024-09-29,,PIT,"W, 27-24",1,2,rush,Jonathan Taylor 2 yard rush (Matt Gay kick)
10,2024-09-29,,PIT,"W, 27-24",1,4,pass,Josh Downs 4 yard pass from Joe Flacco (Matt Gay kick)
11,2024-09-29,,PIT,"W, 27-24",4,15,pass,Andrew Ogletree 15 yard pass from Joe Flacco (Matt Gay kick)
12,2024-10-06,@,JAX,"L, 34-37",1,1,pass,Michael Pittman Jr. 1 yard pass from Joe Flacco (Matt Gay kick)
13,2024-10-06,@,JAX,"L, 34-37",4,18,pass,Mo Alie-Cox 18 yard pass from Joe Flacco (Matt Gay kick)
14,2024-10-06,@,JAX,"L, 34-37",4,1,rush,Trey Sermon 1 yard rush (Matt Gay kick)
15,2024-10-06,@,JAX,"L, 34-37",4,65,pass,Alec Pierce 65 yard pass from Joe Flacco (Matt Gay kick)
16,2024-10-13,@,TEN,"W, 20-17",1,22,pass,Josh Downs 22 yard pass from Joe Flacco (Matt Gay kick)
17,2024-10-13,@,TEN,"W, 20-17",4,10,pass,Michael Pittman Jr. 10 yard pass from Joe Flacco (Matt Gay kick)
18,2024-10-20,,MIA,"W, 16-10",3,7,rush,Tyler Goodson 7 yard rush (Matt Gay kick)
19,2024-10-27,@,HOU,"L, 20-23",1,69,pass,Josh Downs 69 yard pass from Anthony Richardson (Matt Gay kick)
20,2024-10-27,@,HOU,"L, 20-23",4,1,rush,Jonathan Taylor 1 yard rush (Matt Gay kick)
21,2024-11-03,@,MIN,"L, 13-21",2,38,fumble,Kenny Moore 38 yard fumble return (Matt Gay kick)
22,2024-11-10,,BUF,"L, 20-30",2,2,pass,Tyler Goodson 2 yard pass from Joe Flacco (Matt Gay kick)
23,2024-11-10,,BUF,"L, 20-30",4,10,pass,Alec Pierce 10 yard pass from Joe Flacco (Matt Gay kick)
24,2024-11-17,@,NYJ,"W, 28-27",2,2,rush,Anthony Richardson 2 yard rush (Matt Gay kick)
25,2024-11-17,@,NYJ,"W, 28-27",4,10,pass,Josh Downs 10 yard pass from Anthony Richardson (pass failed)
26,2024-11-17,@,NYJ,"W, 28-27",4,4,rush,Anthony Richardson 4 yard rush (run failed)
27,2024-12-01,@,NWE,"W, 25-24",1,7,pass,Jonathan Taylor 7 yard pass from Anthony Richardson (Matt Gay kick)
28,2024-12-01,@,NWE,"W, 25-24",2,3,rush,Anthony Richardson 3 yard rush (Matt Gay kick)
29,2024-12-01,@,NWE,"W, 25-24",4,3,pass,Alec Pierce 3 yard pass from Anthony Richardson (Anthony Richardson run)
30,2024-12-15,@,DEN,"L, 13-31",1,23,rush,Anthony Richardson 23 yard rush (Matt Gay kick)
31,2024-12-22,,TEN,"W, 38-30",2,5,rush,Anthony Richardson 5 yard rush (Matt Gay kick)
32,2024-12-22,,TEN,"W, 38-30",2,65,rush,Jonathan Taylor 65 yard rush (Matt Gay kick)
33,2024-12-22,,TEN,"W, 38-30",2,27,pass,Josh Downs 27 yard pass from Anthony Richardson (Matt Gay kick)
34,2024-12-22,,TEN,"W, 38-30",3,70,rush,Jonathan Taylor 70 yard rush (Matt Gay kick)
35,2024-12-22,,TEN,"W, 38-30",3,1,rush,Jonathan Taylor 1 yard rush (Matt Gay kick)
36,2024-12-29,@,NYG,"L, 33-45",2,3,rush,Jonathan Taylor 3 yard rush (Matt Gay kick)
37,2024-12-29,@,NYG,"L, 33-45",3,26,rush,Jonathan Taylor 26 yard rush (Matt Gay kick)
38,2024-12-29,@,NYG,"L, 33-45",4,13,pass,Alec Pierce 13 yard pass from Joe Flacco (pass failed)
39,2024-12-29,@,NYG,"L, 33-45",4,7,pass,Michael Pittman Jr. 7 yard pass from Joe Flacco (Matt Gay kick)
40,2025-01-05,,JAX,"W, 26-23",1,40,pass,Alec Pierce 40 yard pass from Joe Flacco (Matt Gay kick)
41,2025-01-05,,JAX,"W, 26-23",2,6,rush,Jonathan Taylor 6 yard rush (Matt Gay kick)
