vegas_wpa,vegas_home_wpa,vegas_wp,vegas_home_wp,result,total,spread_line,total_line
0.020090878,0.020090878,0.5934242,0.5934242,3,51,3.0,44.5
0.029338181,0.029338181,0.6135151,0.6135151,3,51,3.0,44.5
0.025957465,0.025957465,0.64285326,0.64285326,3,51,3.0,44.5
-0.027572393,-0.027572393,0.6688107,0.6688107,3,51,3.0,44.5
-0.018234432,-0.018234432,0.64123833,0.64123833,3,51,3.0,44.5
0.054905295,0.054905295,0.6230039,0.6230039,3,51,3.0,44.5
0.0014657974,0.0014657974,0.6779092,0.6779092,3,51,3.0,44.5
-0.023098886,-0.023098886,0.679375,0.679375,3,51,3.0,44.5
-0.018056393,-0.018056393,0.6562761,0.6562761,3,51,3.0,44.5
-0.040837944,-0.040837944,0.6382197,0.6382197,3,51,3.0,44.5
0.02246213,0.02246213,0.5973818,0.5973818,3,51,3.0,44.5
0.011683017,-0.011683017,0.3801561,0.6198439,3,51,3.0,44.5
0.0069324076,-0.0069324076,0.39183912,0.60816085,3,51,3.0,44.5
-0.0009844005,0.0009844005,0.39877152,0.6012285,3,51,3.0,44.5
0.014453471,-0.014453471,0.39778712,0.6022129,3,51,3.0,44.5
0.087703854,-0.087703854,0.4122406,0.5877594,3,51,3.0,44.5
0.016128302,-0.016128302,0.49994445,0.50005555,3,51,3.0,44.5
0.019447982,-0.019447982,0.51607275,0.48392725,3,51,3.0,44.5
-0.0149412155,0.0149412155,0.53552073,0.46447927,3,51,3.0,44.5
-0.14190751,0.14190751,0.5205795,0.47942048,3,51,3.0,44.5
0.010820508,0.010820508,0.621328,0.621328,3,51,3.0,44.5
-0.024376214,-0.024376214,0.6321485,0.6321485,3,51,3.0,44.5
0.05610895,0.05610895,0.6077723,0.6077723,3,51,3.0,44.5
-0.0102007985,-0.0102007985,0.66388124,0.66388124,3,51,3.0,44.5
0.013909042,0.013909042,0.65368044,0.65368044,3,51,3.0,44.5
-0.06374699,-0.06374699,0.6675895,0.6675895,3,51,3.0,44.5
-0.015881062,-0.015881062,0.6038425,0.6038425,3,51,3.0,44.5
-0.010339409,-0.010339409,0.58796144,0.58796144,3,51,3.0,44.5
-0.018833905,0.018833905,0.42237797,0.57762206,3,51,3.0,44.5
-0.018478245,0.018478245,0.40354407,0.59645593,3,51,3.0,44.5
0.026224494,-0.026224494,0.38506582,0.6149342,3,51,3.0,44.5
0.052547336,-0.052547336,0.41129032,0.5887097,3,51,3.0,44.5
0.00086018443,-0.00086018443,0.46383765,0.5361624,3,51,3.0,44.5
0.024228513,-0.024228513,0.46469784,0.53530216,3,51,3.0,44.5
-0.0,0.0,0.48892635,0.51107365,3,51,3.0,44.5
-0.017904758,0.017904758,0.48892635,0.51107365,3,51,3.0,44.5
-0.020885706,0.020885706,0.4710216,0.5289784,3,51,3.0,44.5
-0.029361099,0.029361099,0.4501359,0.5498641,3,51,3.0,44.5
0.03275141,-0.03275141,0.4207748,0.5792252,3,51,3.0,44.5
0.008616626,0.008616626,0.5464738,0.5464738,3,51,3.0,44.5
-0.021290302,-0.021290302,0.5550904,0.5550904,3,51,3.0,44.5
0.00065743923,0.00065743923,0.5338001,0.5338001,3,51,3.0,44.5
-0.03921184,-0.03921184,0.53445756,0.53445756,3,51,3.0,44.5
0.018414974,0.018414974,0.49524572,0.49524572,3,51,3.0,44.5
-0.012684941,0.012684941,0.4863393,0.51366067,3,51,3.0,44.5
0.033404738,-0.033404738,0.47365436,0.5263456,3,51,3.0,44.5
0.024545372,-0.024545372,0.5070591,0.4929409,3,51,3.0,44.5
0.0014033318,-0.0014033318,0.53160447,0.46839553,3,51,3.0,44.5
0.026750684,-0.026750684,0.5330078,0.4669922,3,51,3.0,44.5
0.025144458,-0.025144458,0.5597585,0.44024152,3,51,3.0,44.5
0.026028156,-0.026028156,0.58490294,0.41509706,3,51,3.0,44.5
-0.004144132,0.004144132,0.6109311,0.3890689,3,51,3.0,44.5
0.044152074,-0.044152074,0.60678697,0.39321303,3,51,3.0,44.5
0.002544591,-0.002544591,0.65093905,0.34906095,3,51,3.0,44.5
0.0021709502,0.0021709502,0.34651637,0.34651637,3,51,3.0,44.5
0.072609246,0.072609246,0.34868732,0.34868732,3,51,3.0,44.5
0.027800024,0.027800024,0.42129657,0.42129657,3,51,3.0,44.5
-0.023013592,-0.023013592,0.4490966,0.4490966,3,51,3.0,44.5
0.04190123,0.04190123,0.426083,0.426083,3,51,3.0,44.5
-0.071931034,-0.071931034,0.46798423,0.46798423,3,51,3.0,44.5
0.068663985,0.068663985,0.3960532,0.3960532,3,51,3.0,44.5
-0.046465337,-0.046465337,0.46471718,0.46471718,3,51,3.0,44.5
0.086868614,0.086868614,0.41825184,0.41825184,3,51,3.0,44.5
0.0151858935,0.0151858935,0.50512046,0.50512046,3,51,3.0,44.5
-0.0,0.0,0.47969365,0.52030635,3,51,3.0,44.5
0.14345163,-0.14345163,0.47969365,0.52030635,3,51,3.0,44.5
-0.01053977,0.01053977,0.6231453,0.37685472,3,51,3.0,44.5
-0.005322218,0.005322218,0.6126055,0.3873945,3,51,3.0,44.5
0.04326397,-0.04326397,0.6072833,0.3927167,3,51,3.0,44.5
0.02176404,-0.02176404,0.65054727,0.34945273,3,51,3.0,44.5
-0.012279451,0.012279451,0.6723113,0.3276887,3,51,3.0,44.5
-0.02344358,0.02344358,0.66003186,0.33996814,3,51,3.0,44.5
0.058023985,-0.058023985,0.6365883,0.36341172,3,51,3.0,44.5
0.0023714325,-0.0023714325,0.69461226,0.30538774,3,51,3.0,44.5
0.03160152,0.03160152,0.3030163,0.3030163,3,51,3.0,44.5
-0.02938959,-0.02938959,0.33461782,0.33461782,3,51,3.0,44.5
0.010729492,0.010729492,0.30522823,0.30522823,3,51,3.0,44.5
-0.03457707,-0.03457707,0.31595773,0.31595773,3,51,3.0,44.5
0.08025172,0.08025172,0.28138065,0.28138065,3,51,3.0,44.5
-0.010578364,-0.010578364,0.36163238,0.36163238,3,51,3.0,44.5
0.052615464,0.052615464,0.351054,0.351054,3,51,3.0,44.5
0.0018693209,-0.0018693209,0.5963305,0.40366948,3,51,3.0,44.5
-0.018056035,0.018056035,0.59819984,0.40180016,3,51,3.0,44.5
-0.014018595,0.014018595,0.5801438,0.4198562,3,51,3.0,44.5
-0.053432763,0.053432763,0.5661252,0.4338748,3,51,3.0,44.5
0.040175438,-0.040175438,0.51269245,0.48730755,3,51,3.0,44.5
-0.01721394,-0.01721394,0.4471321,0.4471321,3,51,3.0,44.5
-0.008562624,-0.008562624,0.42991817,0.42991817,3,51,3.0,44.5
0.056928456,0.056928456,0.42135555,0.42135555,3,51,3.0,44.5
-0.027053893,-0.027053893,0.478284,0.478284,3,51,3.0,44.5
0.058263063,0.058263063,0.4512301,0.4512301,3,51,3.0,44.5
0.035078406,0.035078406,0.5094932,0.5094932,3,51,3.0,44.5
0.014577508,0.014577508,0.5445716,0.5445716,3,51,3.0,44.5
0.09703361,0.09703361,0.5591491,0.5591491,3,51,3.0,44.5
0.010341589,0.010341589,0.6561827,0.6561827,3,51,3.0,44.5
-0.0,0.0,0.3334757,0.6665243,3,51,3.0,44.5
-0.0043886304,0.0043886304,0.3334757,0.6665243,3,51,3.0,44.5
-0.0240255,0.0240255,0.32908708,0.6709129,3,51,3.0,44.5
0.056441247,-0.056441247,0.30506158,0.6949384,3,51,3.0,44.5
-0.0045541525,0.0045541525,0.36150283,0.6384972,3,51,3.0,44.5
-0.015562326,0.015562326,0.35694867,0.6430513,3,51,3.0,44.5
-0.012166679,0.012166679,0.34138635,0.6586137,3,51,3.0,44.5
0.06797096,-0.06797096,0.32921967,0.6707803,3,51,3.0,44.5
0.023474842,-0.023474842,0.39719063,0.60280937,3,51,3.0,44.5
-0.018908978,0.018908978,0.42066547,0.5793345,3,51,3.0,44.5
-0.040432245,0.040432245,0.4017565,0.5982435,3,51,3.0,44.5
0.1034773,-0.1034773,0.36132425,0.63867575,3,51,3.0,44.5
-0.1707676,0.1707676,0.46480155,0.53519845,3,51,3.0,44.5
0.0076979995,0.0076979995,0.70596606,0.70596606,3,51,3.0,44.5
-0.0016476512,-0.0016476512,0.71366405,0.71366405,3,51,3.0,44.5
-0.018875837,-0.018875837,0.7120164,0.7120164,3,51,3.0,44.5
0.104408026,0.104408026,0.69314057,0.69314057,3,51,3.0,44.5
0.030177712,0.030177712,0.7975486,0.7975486,3,51,3.0,44.5
0.01063025,0.01063025,0.8277263,0.8277263,3,51,3.0,44.5
0.03657153,0.03657153,0.83835655,0.83835655,3,51,3.0,44.5
0.007996727,0.007996727,0.87492806,0.87492806,3,51,3.0,44.5
0.010686219,-0.010686219,0.11707519,0.8829248,3,51,3.0,44.5
0.0110973865,-0.0110973865,0.12776141,0.8722386,3,51,3.0,44.5
0.009985298,-0.009985298,0.1388588,0.8611412,3,51,3.0,44.5
0.028359413,-0.028359413,0.1488441,0.8511559,3,51,3.0,44.5
-0.0,0.0,0.1772035,0.82279646,3,51,3.0,44.5
-0.007667005,0.007667005,0.1772035,0.82279646,3,51,3.0,44.5
0.0015803576,-0.0015803576,0.1695365,0.8304635,3,51,3.0,44.5
0.030817494,-0.030817494,0.17111686,0.8288832,3,51,3.0,44.5
-0.012418732,0.012418732,0.20193435,0.79806566,3,51,3.0,44.5
0.02027297,-0.02027297,0.18951562,0.8104844,3,51,3.0,44.5
0.018868014,-0.018868014,0.20978859,0.79021144,3,51,3.0,44.5
0.0058467984,-0.0058467984,0.2286566,0.7713434,3,51,3.0,44.5
-0.015459746,0.015459746,0.2345034,0.7654966,3,51,3.0,44.5
-0.022320673,0.022320673,0.21904366,0.7809563,3,51,3.0,44.5
