drive,fixed_drive,fixed_drive_result,drive_real_start_time,drive_play_count,drive_time_of_possession,drive_first_downs,drive_inside20,drive_ended_with_score,drive_quarter_start,drive_quarter_end,drive_yards_penalized,drive_start_transition,drive_end_transition,drive_start_yard_line,drive_end_yard_line,drive_play_id_started,drive_play_id_ended
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
1.0,1.0,Field goal,2004-09-09T21:09:09Z,9.0,4:51,3.0,1.0,1.0,1.0,1.0,-5.0,KICKOFF,FIELD_GOAL,NE 37,IND 15,35.0,244.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
2.0,2.0,Turnover,2004-09-09T21:18:31Z,7.0,3:40,3.0,1.0,0.0,1.0,1.0,5.0,KICKOFF,INTERCEPTION,IND 28,NE 6,263.0,446.0
3.0,3.0,Punt,2004-09-09T21:29:33Z,5.0,3:44,1.0,0.0,0.0,1.0,1.0,-10.0,INTERCEPTION,PUNT,NE 6,NE 26,470.0,643.0
3.0,3.0,Punt,2004-09-09T21:29:33Z,5.0,3:44,1.0,0.0,0.0,1.0,1.0,-10.0,INTERCEPTION,PUNT,NE 6,NE 26,470.0,643.0
3.0,3.0,Punt,2004-09-09T21:29:33Z,5.0,3:44,1.0,0.0,0.0,1.0,1.0,-10.0,INTERCEPTION,PUNT,NE 6,NE 26,470.0,643.0
3.0,3.0,Punt,2004-09-09T21:29:33Z,5.0,3:44,1.0,0.0,0.0,1.0,1.0,-10.0,INTERCEPTION,PUNT,NE 6,NE 26,470.0,643.0
3.0,3.0,Punt,2004-09-09T21:29:33Z,5.0,3:44,1.0,0.0,0.0,1.0,1.0,-10.0,INTERCEPTION,PUNT,NE 6,NE 26,470.0,643.0
3.0,3.0,Punt,2004-09-09T21:29:33Z,5.0,3:44,1.0,0.0,0.0,1.0,1.0,-10.0,INTERCEPTION,PUNT,NE 6,NE 26,470.0,643.0
3.0,3.0,Punt,2004-09-09T21:29:33Z,5.0,3:44,1.0,0.0,0.0,1.0,1.0,-10.0,INTERCEPTION,PUNT,NE 6,NE 26,470.0,643.0
3.0,3.0,Punt,2004-09-09T21:29:33Z,5.0,3:44,1.0,0.0,0.0,1.0,1.0,-10.0,INTERCEPTION,PUNT,NE 6,NE 26,470.0,643.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
4.0,4.0,Field goal,2004-09-09T21:37:51Z,10.0,4:05,3.0,1.0,1.0,1.0,2.0,0.0,PUNT,FIELD_GOAL,IND 37,NE 14,668.0,875.0
5.0,5.0,Punt,2004-09-09T21:48:04Z,3.0,1:26,0.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,NE 18,NE 26,894.0,977.0
5.0,5.0,Punt,2004-09-09T21:48:04Z,3.0,1:26,0.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,NE 18,NE 26,894.0,977.0
5.0,5.0,Punt,2004-09-09T21:48:04Z,3.0,1:26,0.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,NE 18,NE 26,894.0,977.0
5.0,5.0,Punt,2004-09-09T21:48:04Z,3.0,1:26,0.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,NE 18,NE 26,894.0,977.0
5.0,5.0,Punt,2004-09-09T21:48:04Z,3.0,1:26,0.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,NE 18,NE 26,894.0,977.0
6.0,6.0,Touchdown,2004-09-09T21:54:35Z,9.0,4:12,5.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,IND 34,NE 3,1011.0,1200.0
6.0,6.0,Touchdown,2004-09-09T21:54:35Z,9.0,4:12,5.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,IND 34,NE 3,1011.0,1200.0
6.0,6.0,Touchdown,2004-09-09T21:54:35Z,9.0,4:12,5.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,IND 34,NE 3,1011.0,1200.0
6.0,6.0,Touchdown,2004-09-09T21:54:35Z,9.0,4:12,5.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,IND 34,NE 3,1011.0,1200.0
6.0,6.0,Touchdown,2004-09-09T21:54:35Z,9.0,4:12,5.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,IND 34,NE 3,1011.0,1200.0
6.0,6.0,Touchdown,2004-09-09T21:54:35Z,9.0,4:12,5.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,IND 34,NE 3,1011.0,1200.0
