stadium,weather,location,div_game,roof,surface,temp,wind,stadium_id,game_stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
Gillette Stadium,"Cloudy, warm, humid, showers expected Temp: 73° F, Humidity: 99%, Wind: SSE 19 mph",Home,0,outdoors,grass,73.0,19.0,BOS00,Gillette Stadium
