fantasy_player_name,fantasy_player_id,fantasy,fantasy_id
0,0,0,0
D.Givens,00-0021353,D.Givens,00-0021353
D.Branch,00-0021192,D.Branch,00-0021192
0,0,D.Branch,00-0021192
B.Watson,00-0022943,B.Watson,00-0022943
B.Watson,00-0022943,B.Watson,00-0022943
D.Branch,00-0021192,D.Branch,00-0021192
0,0,0,0
D.Graham,00-0021154,D.Graham,00-0021154
0,0,B.Watson,00-0022943
0,0,0,0
0,0,0,0
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
0,0,E.James,00-0008241
R.Wayne,00-0020498,R.Wayne,00-0020498
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
0,0,M.Pollard,00-0013080
0,0,D.Clark,00-0022165
C.Dillon,00-0004304,C.Dillon,00-0004304
0,0,C.Dillon,00-0004304
D.Branch,00-0021192,D.Branch,00-0021192
C.Dillon,00-0004304,C.Dillon,00-0004304
C.Dillon,00-0004304,C.Dillon,00-0004304
B.Johnson,00-0021993,B.Johnson,00-0021993
0,0,0,0
0,0,0,0
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
M.Harrison,00-0007024,M.Harrison,00-0007024
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
0,0,0,0
D.Rhodes,00-0019863,D.Rhodes,00-0019863
0,0,D.Clark,00-0022165
M.Harrison,00-0007024,M.Harrison,00-0007024
0,0,0,0
0,0,0,0
D.Branch,00-0021192,D.Branch,00-0021192
D.Graham,00-0021154,D.Graham,00-0021154
0,0,D.Branch,00-0021192
0,0,0,0
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
D.Rhodes,00-0019863,D.Rhodes,00-0019863
D.Rhodes,00-0019863,D.Rhodes,00-0019863
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
D.Rhodes,00-0019863,D.Rhodes,00-0019863
D.Rhodes,00-0019863,D.Rhodes,00-0019863
0,0,0,0
0,0,0,0
C.Dillon,00-0004304,C.Dillon,00-0004304
C.Dillon,00-0004304,C.Dillon,00-0004304
C.Dillon,00-0004304,C.Dillon,00-0004304
B.Johnson,00-0021993,B.Johnson,00-0021993
0,0,0,0
D.Patten,00-0012642,D.Patten,00-0012642
C.Dillon,00-0004304,C.Dillon,00-0004304
D.Branch,00-0021192,D.Branch,00-0021192
0,0,0,0
0,0,0,0
D.Clark,00-0022165,D.Clark,00-0022165
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
M.Harrison,00-0007024,M.Harrison,00-0007024
0,0,E.James,00-0008241
P.Manning,00-0010346,P.Manning,00-0010346
0,0,R.Wayne,00-0020498
M.Harrison,00-0007024,M.Harrison,00-0007024
0,0,0,0
0,0,0,0
0,0,D.Patten,00-0012642
D.Graham,00-0021154,D.Graham,00-0021154
D.Graham,00-0021154,D.Graham,00-0021154
D.Graham,00-0021154,D.Graham,00-0021154
0,0,0,0
0,0,0,0
0,0,0,0
0,0,D.Clark,00-0022165
E.James,00-0008241,E.James,00-0008241
0,0,B.Stokley,00-0015754
0,0,0,0
0,0,D.Graham,00-0021154
0,0,D.Graham,00-0021154
D.Branch,00-0021192,D.Branch,00-0021192
C.Dillon,00-0004304,C.Dillon,00-0004304
D.Branch,00-0021192,D.Branch,00-0021192
C.Dillon,00-0004304,C.Dillon,00-0004304
0,0,D.Givens,00-0021353
D.Patten,00-0012642,D.Patten,00-0012642
0,0,0,0
0,0,0,0
E.James,00-0008241,E.James,00-0008241
0,0,M.Harrison,00-0007024
B.Stokley,00-0015754,B.Stokley,00-0015754
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
0,0,0,0
B.Stokley,00-0015754,B.Stokley,00-0015754
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
E.James,00-0008241,E.James,00-0008241
P.Manning,00-0010346,P.Manning,00-0010346
E.James,00-0008241,E.James,00-0008241
D.Patten,00-0012642,D.Patten,00-0012642
C.Dillon,00-0004304,C.Dillon,00-0004304
0,0,B.Watson,00-0022943
D.Patten,00-0012642,D.Patten,00-0012642
D.Givens,00-0021353,D.Givens,00-0021353
C.Dillon,00-0004304,C.Dillon,00-0004304
