,receiver_player_name,play_type,week,posteam,receiving_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,D.Clark,pass,1,IND,64.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.46045288,0.109665774,0.0028204166,0.14460057,0.109235555,0.0018908097,0.17133395,0.0,0.0,0.18398382,3.9221554,-6.114536,6.114536,-8.780601,8.780601,3.4690256,-3.4690256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48384956,0.5161505,0.5161505,0.48384956,0.14824459,0.36790586,0.63209414,-0.21854065,0.21854065,0.061918534,-0.061918534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9221554,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1,M.Harrison,pass,1,IND,44.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.11121247,0.05799938,0.001113606,0.09717733,0.34705922,0.0019538081,0.3834842,0.0,0.0,2.8730083,0.92823,-1.4638401,1.4638401,-4.9735346,4.9735346,4.9273334,-4.9273334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43805626,0.5619437,0.5619437,0.43805626,0.019165497,0.5427782,0.45722178,-0.020107852,0.020107852,0.09948955,-0.09948955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92823,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2,E.James,pass,1,IND,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.036675084,0.13828723,0.0028406128,0.23829417,0.23294091,0.0047558458,0.34620616,0.0,0.0,1.0431755,0.45932043,0.1773033,-0.1773033,-4.2104,4.2104,4.8077188,-4.8077188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42014572,0.57985425,0.57985425,0.42014572,0.019681057,0.5601732,0.43982682,-0.091059305,0.091059305,0.13465063,-0.13465063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45932043,0.0,0.0,0.0,0.0,0.0,0.0,10.333333
3,R.Wayne,pass,1,IND,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.018045532,0.12856175,0.0024647575,0.22292309,0.256764,0.0046807975,0.36656007,0.0,0.0,1.3944978,3.1013174,-2.3300755,2.3300755,-0.39223087,0.39223087,-2.1529999,2.1529999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4357847,0.5642153,0.5642153,0.4357847,0.11149144,0.45272386,0.54727614,0.003142506,-0.003142506,-0.077206194,0.077206194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1013174,0.0,0.0,0.0,0.0,0.0,0.0,10.0
4,B.Stokley,pass,1,IND,77.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.19026197,0.10932724,0.002317403,0.18974358,0.24884516,0.0031510934,0.2563535,0.0,0.0,0.88649064,2.3964572,-0.9059414,0.9059414,-5.222899,5.222899,5.9416065,-5.9416065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28962195,0.71037805,0.71037805,0.28962195,0.11914264,0.5912354,0.4087646,0.036407016,-0.036407016,0.11441311,-0.11441311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3964572,0.0,0.0,0.0,0.0,0.0,0.0,8.0
5,R.Wayne,pass,2,IND,119.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.20007674,0.108000174,0.005882541,0.15426986,0.20115958,0.0017674124,0.32884365,0.0,0.0,1.4932643,1.4218458,1.9185865,-1.9185865,0.4241867,-0.4241867,3.808725,-3.808725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32271126,0.6772887,0.6772887,0.32271126,0.035392944,0.6418958,0.35810423,0.058874663,-0.058874663,0.1340264,-0.1340264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4218458,0.0,0.0,0.0,0.0,0.0,0.0,8.714286
6,M.Harrison,pass,2,IND,98.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.16549435,0.10757208,0.0075269537,0.15769269,0.23532161,0.001703819,0.3246885,0.0,0.0,1.540573,0.2663207,2.1406837,-2.1406837,0.67307186,-0.67307186,4.2959266,-4.2959266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34102002,0.65898,0.65898,0.34102002,0.011329015,0.647651,0.352349,0.06346102,-0.06346102,0.14659391,-0.14659391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6564391,0.0,0.0,0.0,0.0,0.0,0.0,8.7
7,E.James,pass,2,IND,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015729148,0.08382343,0.0016400847,0.14223643,0.30502626,0.003053723,0.44849095,0.0,0.0,2.8102174,-0.48368275,3.3487344,-3.3487344,1.3234842,-1.3234842,6.813622,-6.813622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2992431,0.7007569,0.7007569,0.2992431,-0.014094032,0.7148509,0.28514907,0.107114784,-0.107114784,0.23496068,-0.23496068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48368275,0.0,0.0,0.0,0.0,0.0,0.0,10.0
8,B.Stokley,pass,2,IND,27.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.054940466,0.07949094,0.0020683827,0.12681389,0.34396738,0.0017292369,0.39098972,0.0,0.0,2.6419816,1.5322857,-2.1685004,2.1685004,0.33184722,-0.33184722,-1.0057313,1.0057313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44630998,0.55369,0.55369,0.44630998,0.067872524,0.4858175,0.5141825,0.016440919,-0.016440919,-0.027111508,0.027111508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5322857,0.0,0.0,0.0,0.0,0.0,0.0,10.0
9,M.Pollard,pass,2,IND,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.14336409,0.07759225,0.0019096816,0.12727307,0.16794503,0.0024277074,0.47948816,0.0,0.0,2.7376,0.24369459,-2.5519762,2.5519762,-1.3369154,1.3369154,1.9509473,-1.9509473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525384,0.47461602,0.47461602,0.525384,0.017939232,0.4566768,0.5433232,-0.025735429,0.025735429,0.047865395,-0.047865395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24369459,0.0,0.0,0.0,0.0,0.0,0.0,4.6666665
