,rusher_player_name,play_type,week,posteam,rushing_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,D.Rhodes,run,1,IND,42.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,0.08380227,0.041772474,0.0008534595,0.06621505,0.2925618,0.0015888242,0.5132061,0.0,0.0,3.8827763,0.29834524,-2.1668923,2.1668923,-6.2500663,6.2500663,5.3628054,-5.3628054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44915566,0.5508443,0.5508443,0.44915566,0.0090669105,0.54177743,0.45822257,-0.078446105,0.078446105,0.124432184,-0.124432184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29834524,0.0,0.0,0.0,0.0,0.0,0.0,6.2
1,E.James,run,1,IND,142.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,1.0,0.074873485,0.09059661,0.0019606075,0.14797948,0.27076033,0.002556103,0.4112734,0.0,0.0,2.3847394,-0.2125776,-1.0419174,1.0419174,-4.9608283,4.9608283,4.5523696,-4.5523696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45179817,0.5482018,0.5482018,0.45179817,-0.01976895,0.5679708,0.43202922,-0.055899102,0.055899102,0.108739056,-0.108739056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2125776,0.0,0.0,0.0,0.0,0.0,0.0,7.0666666
2,P.Manning,run,1,IND,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.054587685,0.08393928,0.0012164548,0.14130677,0.14859933,0.006061571,0.5642889,0.0,0.0,3.1645453,1.4672267,-5.2820115,5.2820115,-8.325507,8.325507,3.203666,-3.203666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53244865,0.46755132,0.46755132,0.53244865,0.051047087,0.41650423,0.58349574,-0.1900208,0.1900208,0.06386694,-0.06386694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4672267,0.0,0.0,0.0,0.0,0.0,0.0,1.5
3,E.James,run,2,IND,124.0,7.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,3.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,12.0,9.0,0.0,0.105404444,0.08509756,0.0030335481,0.12917484,0.25007838,0.0019484627,0.42526278,0.0,0.0,2.5653877,0.48437914,-0.8634473,0.8634473,-0.07389387,0.07389387,1.2702557,-1.2702557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4613281,0.5386719,0.5386719,0.4613281,0.013931635,0.5247403,0.47525972,0.0056756046,-0.0056756046,0.042769663,-0.042769663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48437914,0.0,0.0,0.0,0.0,0.0,0.0,6.0
4,P.Manning,qb_kneel,2,IND,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6207356,0.007990838,0.0002991697,0.008278349,0.29619512,0.0005363293,0.06596457,0.0,0.0,1.2688907,-1.2688907,-17.930079,17.930079,-8.351509,8.351509,-6.8832498,6.8832498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991499,0.00085008144,0.00085008144,0.9991499,0.0,0.0,0.0,-0.20742315,0.20742315,-0.22945818,0.22945818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2688907,0.0,0.0,0.0,0.0,0.0,0.0,10.0
5,P.Manning,run,2,IND,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.019936908,0.17581742,0.006988146,0.2804678,0.20632482,0.0020345296,0.30843043,0.0,0.0,0.27735335,0.41627377,5.6344347,-5.6344347,3.0601032,-3.0601032,2.6598032,-2.6598032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30070454,0.69929546,0.69929546,0.30070454,-0.0073108375,0.70660627,0.2933937,0.06508525,-0.06508525,0.094082475,-0.094082475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41627377,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6,E.James,run,3,IND,62.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,4.0,2.0,0.076030545,0.06871723,0.0015806028,0.10988988,0.24431823,0.0039275284,0.495536,0.0,0.0,3.2310195,-0.10132788,2.673676,-2.673676,-1.3613737,1.3613737,5.3425765,-5.3425765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91421115,0.085788846,0.91421115,0.085788846,-5.4520955e-05,0.9141566,0.08584336,0.055128574,-0.055128574,0.25597674,-0.25597674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10132788,0.0,0.0,0.0,0.0,0.0,0.0,6.1904764
7,D.Rhodes,run,3,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057366017,0.0026197177,0.00017677514,0.0052363635,0.06653369,0.0033221182,0.8647453,0.0,0.0,6.2145953,-0.34142026,8.709195,-8.709195,-1.5736849,1.5736849,10.707002,-10.707002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9221235,0.07787651,0.9221235,0.07787651,-0.0024207234,0.91970277,0.08029723,0.0062822253,-0.0062822253,0.28706285,-0.28706285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34142026,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,P.Manning,qb_kneel,3,IND,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6305723,-7.6305723,-1.899607,1.899607,10.441782,-10.441782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666005,0.033399522,0.9666005,0.033399522,0.0,0.0,0.0,0.039030302,-0.039030302,0.3177632,-0.3177632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
9,E.James,run,4,IND,83.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.14852808,0.099424794,0.0023310701,0.16611029,0.21938643,0.0029231291,0.3612962,0.0,0.0,1.7273704,0.026564186,-6.4031663,6.4031663,-9.954915,9.954915,2.9582283,-2.9582283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6576364,0.34236363,0.34236363,0.6576364,0.0061617545,0.33620188,0.66379815,-0.3325895,0.3325895,0.09158023,-0.09158023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026564186,0.0,0.0,0.0,0.0,0.0,0.0,8.315789
