sp,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,away_score,home_score
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,27
1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
0.0,3.0,0.0,0.0,3.0,-3.0,0.0,3.0,-3.0,24,27
1.0,3.0,3.0,0.0,3.0,-3.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,24,27
1.0,3.0,9.0,3.0,3.0,0.0,9.0,3.0,6.0,24,27
1.0,3.0,10.0,9.0,3.0,6.0,10.0,3.0,7.0,24,27
0.0,3.0,10.0,3.0,10.0,-7.0,3.0,10.0,-7.0,24,27
0.0,3.0,10.0,3.0,10.0,-7.0,3.0,10.0,-7.0,24,27
0.0,3.0,10.0,3.0,10.0,-7.0,3.0,10.0,-7.0,24,27
0.0,3.0,10.0,3.0,10.0,-7.0,3.0,10.0,-7.0,24,27
0.0,3.0,10.0,3.0,10.0,-7.0,3.0,10.0,-7.0,24,27
0.0,3.0,10.0,3.0,10.0,-7.0,3.0,10.0,-7.0,24,27
0.0,3.0,10.0,3.0,10.0,-7.0,3.0,10.0,-7.0,24,27
0.0,3.0,10.0,3.0,10.0,-7.0,3.0,10.0,-7.0,24,27
1.0,9.0,10.0,3.0,10.0,-7.0,9.0,10.0,-1.0,24,27
1.0,10.0,10.0,9.0,10.0,-1.0,10.0,10.0,0.0,24,27
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,24,27
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,24,27
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,24,27
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,24,27
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,24,27
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,24,27
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,24,27
0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,24,27
1.0,10.0,16.0,10.0,10.0,0.0,16.0,10.0,6.0,24,27
