,passer_player_name,play_type,week,posteam,passing_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,T.Brady,qb_spike,1,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41738665,0.0018117854,0.00032244305,0.0075229453,0.55497473,0.0003890181,0.0175924,0.0,0.0,1.7301081,0.403498,-7.01288,7.01288,-7.8063374,7.8063374,0.9048793,-0.9048793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3045186,0.6954814,0.3045186,0.6954814,-0.011241436,0.29327717,0.70672286,-0.17872225,0.17872225,-0.03771401,0.03771401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403498,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1,T.Brady,pass,1,NE,335.0,0.0,18.0,0.0,6.0,4.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,3.0,3.0,0.0,0.0,1.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,3.0,0.19100134,0.08750093,0.004281577,0.12996875,0.26942718,0.0029301774,0.31489003,0.0,0.0,1.837525,0.44751358,-0.5278193,0.5278193,-4.2242455,4.2242455,4.463891,-4.463891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5794526,0.42054743,0.5794526,0.42054743,0.012673268,0.59212583,0.40787417,-0.021906681,0.021906681,0.113820896,-0.113820896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44751358,0.0,0.0,0.0,0.0,0.0,0.0,9.153846
2,C.Hentrich,pass,2,TEN,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4204585,0.10264369,0.0007666829,0.18435162,0.102032475,0.011900312,0.17784671,0.0,0.0,-0.025100745,-1.8601793,-11.947863,11.947863,-2.942869,2.942869,-5.7085176,5.7085176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12197853,0.8780215,0.12197853,0.8780215,-0.061320014,0.060658514,0.9393415,-0.1512856,0.1512856,-0.22879624,0.22879624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8601793,0.0,0.0,0.0,0.0,0.0,0.0,10.0
3,S.McNair,pass,2,TEN,273.0,0.0,15.0,0.0,4.0,5.0,0.0,1.0,13.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,3.0,0.0,0.0,0.0,0.0,1.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,5.0,0.23304203,0.06580149,0.0015784662,0.10746858,0.26620772,0.003542564,0.32235914,0.0,0.0,2.1093807,0.049888976,-1.5760553,1.5760553,-1.1963478,1.1963478,1.8273163,-1.8273163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480327,0.519673,0.480327,0.519673,0.0015318306,0.48185885,0.51814115,-0.02069463,0.02069463,0.038501114,-0.038501114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049888976,0.0,0.0,0.0,0.0,0.0,0.0,7.6190476
4,D.Pederson,pass,3,GB,34.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.54971033,0.013883068,0.0005863113,0.016847735,0.22519515,0.00048054976,0.19329683,0.0,0.0,1.8688685,-0.19816636,3.3326035,-3.3326035,-2.225529,2.225529,7.0903497,-7.0903497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026909604,0.997309,0.997309,0.0026909604,-0.0004780241,0.99778706,0.0022129363,0.07177838,-0.07177838,0.34897873,-0.34897873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19816636,0.0,0.0,0.0,0.0,0.0,0.0,6.5
5,B.Favre,pass,3,GB,358.0,0.0,17.0,0.0,7.0,6.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,1.0,4.0,4.0,0.0,0.0,1.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,2.0,0.14727727,0.09985803,0.0027807248,0.17294508,0.25559264,0.003320949,0.31822532,0.0,0.0,1.4852458,0.36231992,2.1482632,-2.1482632,-1.3531258,1.3531258,5.940422,-5.940422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16397347,0.8360265,0.8360265,0.16397347,0.004089324,0.83193725,0.16806278,0.021110527,-0.021110527,0.21104543,-0.21104543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4850917,0.0,0.0,0.0,0.0,0.0,0.0,8.777778
6,B.Leftwich,pass,4,JAX,318.0,0.0,16.0,0.0,6.0,5.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,1.0,1.0,0.0,0.0,1.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,6.0,0.19027153,0.08178193,0.0013297668,0.1226005,0.25945035,0.0035950895,0.31771505,0.0,0.011011628,1.9253609,0.36909035,-6.27341,6.27341,-8.663695,8.663695,1.625509,-1.625509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32953858,0.6704614,0.32953858,0.6704614,0.012317027,0.34185562,0.6581444,-0.2739358,0.2739358,0.016190715,-0.016190715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36909035,0.0,0.0,0.0,0.0,0.0,0.0,8.348837
7,K.Collins,pass,5,LV,245.0,0.0,11.0,0.0,2.0,7.0,0.0,2.0,13.0,3.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,2.0,1.0,0.0,1.0,2.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,5.0,0.3026848,0.0870783,0.0024104558,0.14527304,0.19066644,0.0029149943,0.26897195,0.0,0.0,1.1776658,-0.2895612,13.08955,-13.08955,-1.698977,1.698977,10.514478,-10.514478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09508831,0.9049117,0.9049117,0.09508831,-0.0035675645,0.9084792,0.09152075,-0.09319051,0.09319051,0.33838096,-0.33838096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2895612,0.0,0.0,0.0,0.0,0.0,0.0,9.291667
8,B.Leftwich,pass,7,JAX,300.0,0.0,15.0,0.0,5.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,2.0,2.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,1.0,0.11558418,0.080470845,0.0030748546,0.13469215,0.28513318,0.0022714532,0.34936157,0.0,0.013926471,2.142919,0.5575358,-3.9207642,3.9207642,1.9062713,-1.9062713,-5.049496,5.049496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5231129,0.47688708,0.47688708,0.5231129,0.022125956,0.45476115,0.54523885,0.08045092,-0.08045092,-0.18672466,0.18672466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575358,0.0,0.0,0.0,0.0,0.0,0.0,7.7941175
9,T.Green,pass,8,KC,389.0,0.0,20.0,1.0,7.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,3.0,3.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,22.0,20.0,2.0,0.14797877,0.07865405,0.0015478533,0.11976869,0.28098863,0.0037633674,0.3672986,0.0,0.0,2.3441443,0.8176805,7.865918,-7.865918,3.4458137,-3.4458137,3.9671552,-3.9671552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7932431,0.20675692,0.7932431,0.20675692,0.020882182,0.8141253,0.18587473,0.0013974227,-0.0013974227,0.21814589,-0.21814589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8176805,0.0,0.0,0.0,0.0,0.0,0.0,8.171429
