,receiver_player_name,play_type,week,posteam,receiving_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,C.Fauria,pass,1,NE,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15338153,0.15125431,0.0036909399,0.22886574,0.17732775,0.0045870794,0.2808926,0.0,0.0,0.44420066,0.00066091213,0.582139,-0.582139,-5.495803,5.495803,6.9394555,-6.9394555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283587,0.2716413,0.7283587,0.2716413,0.015931606,0.7442903,0.2557097,0.02390181,-0.02390181,0.19713928,-0.19713928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066091213,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1,D.Graham,pass,1,NE,57.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.35517558,0.051071275,0.0011840938,0.073909976,0.2584893,0.0016704845,0.25849926,0.0,0.0,1.9153519,0.4385036,-1.7821037,1.7821037,-5.1211696,5.1211696,3.6361337,-3.6361337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51199085,0.48800912,0.51199085,0.48800912,0.010846057,0.5228369,0.47716308,-0.07732473,0.07732473,0.07101809,-0.07101809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4385036,0.0,0.0,0.0,0.0,0.0,0.0,7.714286
2,D.Branch,pass,1,NE,86.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.040993985,0.1191772,0.005446675,0.17168327,0.2749793,0.0030542302,0.3846654,0.0,0.0,1.9534961,1.3394068,0.014596598,-0.014596598,-4.099817,4.099817,4.171987,-4.171987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5035883,0.4964117,0.5035883,0.4964117,0.05108831,0.5546766,0.4453234,-0.08975739,0.08975739,0.112659626,-0.112659626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3394068,0.0,0.0,0.0,0.0,0.0,0.0,10.857142
3,D.Patten,pass,1,NE,86.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.06168805,0.104363635,0.0017692265,0.16233453,0.30802843,0.003701878,0.35811424,0.0,0.0,1.9853176,2.2001703,0.626073,-0.626073,-5.8027325,5.8027325,6.12778,-6.12778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56968516,0.43031484,0.56968516,0.43031484,0.06896507,0.63865024,0.36134976,-0.074469164,0.074469164,0.1544506,-0.1544506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2001703,0.0,0.0,0.0,0.0,0.0,0.0,11.5
4,B.Johnson,pass,1,NE,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1191503,0.042183906,0.00045149628,0.0738732,0.3719572,0.001193034,0.3911909,0.0,0.0,3.2120268,0.93750024,-5.217799,5.217799,-7.5727825,7.5727825,3.3328898,-3.3328898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3746043,0.62539566,0.3746043,0.62539566,0.020484239,0.39508855,0.60491145,-0.17651491,0.17651491,0.06277421,-0.06277421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93750024,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,B.Watson,pass,1,NE,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.005023114,0.058002524,0.00078358816,0.082361415,0.46798015,0.0013726823,0.38447648,0.0,0.0,3.3459167,0.6717773,3.2009277,-3.2009277,0.0,0.0,1.9868811,-1.9868811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60859007,0.39140993,0.60859007,0.39140993,0.024627954,0.63321805,0.36678198,0.0,0.0,0.060644656,-0.060644656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6717773,0.0,0.0,0.0,0.0,0.0,0.0,9.0
6,D.Givens,pass,1,NE,80.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.20016885,0.10043286,0.0052787364,0.15088451,0.21382977,0.0047763963,0.3246289,0.0,0.0,1.5553966,1.2228487,2.8196719,-2.8196719,-2.6908488,2.6908488,6.977625,-6.977625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7149185,0.2850815,0.7149185,0.2850815,0.042280853,0.75719935,0.24280067,0.08884914,-0.08884914,0.20716989,-0.20716989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2228487,0.0,0.0,0.0,0.0,0.0,0.0,7.5
7,T.Fleming,pass,2,TEN,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4204585,0.10264369,0.0007666829,0.18435162,0.102032475,0.011900312,0.17784671,0.0,0.0,-0.025100745,-1.8601793,-11.947863,11.947863,-2.942869,2.942869,-5.7085176,5.7085176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12197853,0.8780215,0.12197853,0.8780215,-0.061320014,0.060658514,0.9393415,-0.1512856,0.1512856,-0.22879624,0.22879624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8601793,0.0,0.0,0.0,0.0,0.0,0.0,10.0
8,E.Berlin,pass,2,TEN,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6262807,0.030988296,0.0006528036,0.049664527,0.08099879,0.001965833,0.20944901,0.0,0.0,1.2711489,0.80780804,-15.851121,15.851121,-8.351509,8.351509,-4.4038467,4.4038467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036241726,0.9963758,0.0036241726,0.9963758,2.5266549e-05,0.0036494392,0.9963506,-0.20742315,0.20742315,-0.22959311,0.22959311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80780804,0.0,0.0,0.0,0.0,0.0,0.0,3.0
9,E. Kinney,pass,2,TEN,45.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.3827603,0.07695065,0.0014673639,0.11672386,0.15773349,0.003409126,0.26095524,0.0,0.0,1.2558516,0.522223,-5.2606034,5.2606034,-3.1507885,3.1507885,0.31834784,-0.31834784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34681228,0.6531877,0.34681228,0.6531877,0.01598481,0.3627971,0.6372029,-0.0710155,0.0710155,-0.020184273,0.020184273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522223,0.0,0.0,0.0,0.0,0.0,0.0,6.8333335
