,rusher_player_name,play_type,week,posteam,rushing_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,C.Dillon,run,1,NE,86.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.1464933,0.09500668,0.0064953296,0.14548284,0.23160878,0.0032352733,0.37167782,0.0,0.0,1.986651,-0.016497388,-0.8018119,0.8018119,-4.8671327,4.8671327,5.3222857,-5.3222857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59526646,0.4047335,0.59526646,0.4047335,0.003262498,0.598529,0.40147102,-0.024055464,0.024055464,0.14347677,-0.14347677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016497388,0.0,0.0,0.0,0.0,0.0,0.0,8.933333
1,B.Johnson,run,1,NE,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.040433038,0.15201108,0.0026418103,0.22854671,0.20450999,0.0039017838,0.36795557,0.0,0.0,1.1358787,-1.8975393,1.4040791,-1.4040791,-3.5118833,3.5118833,5.3523555,-5.3523555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65083426,0.34916574,0.65083426,0.34916574,-0.07487452,0.57595974,0.42404026,-0.09111032,0.09111032,0.16216367,-0.16216367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8975393,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,T.Brady,qb_kneel,1,NE,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13727744,-0.13727744,-1.6855783,1.6855783,7.249615,-7.249615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96280897,0.037191033,0.96280897,0.037191033,0.0,0.0,0.0,0.3743682,-0.3743682,0.34021387,-0.34021387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
3,R.Holcombe,run,2,TEN,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.008441499,0.06439493,0.0008398495,0.09428155,0.3777762,0.0014527409,0.45281324,0.0,0.0,3.4510915,0.4493113,3.0836368,-3.0836368,1.0591152,-1.0591152,1.9774677,-1.9774677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129232,0.3870768,0.6129232,0.3870768,0.026853919,0.6397771,0.36022288,0.023479879,-0.023479879,0.06932825,-0.06932825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4493113,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,C.Brown,run,2,TEN,152.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.13370273,0.0869433,0.0027835136,0.1337943,0.2673661,0.0040366864,0.3713734,0.0,0.0,2.2068286,0.05934963,3.9494681,-3.9494681,1.4743205,-1.4743205,3.9346225,-3.9346225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.670248,0.32975203,0.670248,0.32975203,0.0018343421,0.6720823,0.3279177,0.057821114,-0.057821114,0.12802364,-0.12802364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05934963,0.0,0.0,0.0,0.0,0.0,0.0,7.923077
5,S.McNair,run,2,TEN,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.02431206,0.04521886,0.0005979326,0.07307167,0.18226026,0.0056964485,0.6688428,0.0,0.0,4.5917187,0.58554316,5.66408,-5.66408,2.7967362,-2.7967362,5.4514236,-5.4514236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71853244,0.2814676,0.71853244,0.2814676,0.021373993,0.73990643,0.2600936,0.115819745,-0.115819745,0.17991018,-0.17991018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58554316,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,D.Mason,run,2,TEN,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017425727,0.015904918,0.00037443274,0.029872067,0.41876498,0.0022637893,0.5153941,0.0,0.0,4.611013,-0.9267621,6.385842,-6.385842,3.7488782,-3.7488782,3.5912347,-3.5912347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74688655,0.25311345,0.74688655,0.25311345,-0.039464474,0.7074221,0.29257792,0.0827551,-0.0827551,0.110423684,-0.110423684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9267621,0.0,0.0,0.0,0.0,0.0,0.0,7.0
7,N.Luchey,run,3,GB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022914601,0.015992561,0.00075306784,0.035300255,0.32796186,0.00096030114,0.5961173,0.0,0.0,4.862042,-0.38402176,2.367399,-2.367399,-2.1241357,2.1241357,9.134535,-9.134535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20510413,0.7948959,0.7948959,0.20510413,-0.012893707,0.80778956,0.19221042,-0.012835816,0.012835816,0.2188782,-0.2188782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38402176,0.0,0.0,0.0,0.0,0.0,0.0,10.0
8,A.Green,run,3,GB,67.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.054554366,0.101766065,0.003065997,0.18602543,0.25743097,0.0035390414,0.39361814,0.0,0.0,1.9210899,0.008668538,1.3396332,-1.3396332,-1.2215092,1.2215092,5.460642,-5.460642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21324962,0.7867504,0.7867504,0.21324962,-0.002869981,0.78962034,0.21037965,0.011894971,-0.011894971,0.17654718,-0.17654718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008668538,0.0,0.0,0.0,0.0,0.0,0.0,7.647059
9,T.Fisher,run,3,GB,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034747568,0.03255587,0.0018550868,0.0525031,0.40961707,0.001158064,0.49883607,0.0,0.0,4.2541203,-0.007120108,6.038988,-6.038988,-2.1511605,2.1511605,9.316017,-9.316017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09142354,0.9085765,0.9085765,0.09142354,-0.013660654,0.9222371,0.07776289,0.03213489,-0.03213489,0.26967615,-0.26967615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007120108,0.0,0.0,0.0,0.0,0.0,0.0,10.0
