drive,fixed_drive,fixed_drive_result,drive_real_start_time,drive_play_count,drive_time_of_possession,drive_first_downs,drive_inside20,drive_ended_with_score,drive_quarter_start,drive_quarter_end,drive_yards_penalized,drive_start_transition,drive_end_transition,drive_start_yard_line,drive_end_yard_line,drive_play_id_started,drive_play_id_ended
1.0,1.0,Turnover on downs,2024-09-08T17:03:12.983Z,6.0,3:20,1.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,DOWNS,IND 27,HOU 46,40.0,179.0
1.0,1.0,Turnover on downs,2024-09-08T17:03:12.983Z,6.0,3:20,1.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,DOWNS,IND 27,HOU 46,40.0,179.0
1.0,1.0,Turnover on downs,2024-09-08T17:03:12.983Z,6.0,3:20,1.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,DOWNS,IND 27,HOU 46,40.0,179.0
1.0,1.0,Turnover on downs,2024-09-08T17:03:12.983Z,6.0,3:20,1.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,DOWNS,IND 27,HOU 46,40.0,179.0
1.0,1.0,Turnover on downs,2024-09-08T17:03:12.983Z,6.0,3:20,1.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,DOWNS,IND 27,HOU 46,40.0,179.0
1.0,1.0,Turnover on downs,2024-09-08T17:03:12.983Z,6.0,3:20,1.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,DOWNS,IND 27,HOU 46,40.0,179.0
1.0,1.0,Turnover on downs,2024-09-08T17:03:12.983Z,6.0,3:20,1.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,DOWNS,IND 27,HOU 46,40.0,179.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
2.0,2.0,Field goal,2024-09-08T17:10:14.043Z,8.0,4:56,1.0,0.0,1.0,1.0,1.0,-5.0,DOWNS,FIELD_GOAL,HOU 47,IND 32,202.0,395.0
3.0,3.0,Touchdown,2024-09-08T17:19:31.030Z,3.0,1:32,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,IND 27,IND 40,415.0,515.0
3.0,3.0,Touchdown,2024-09-08T17:19:31.030Z,3.0,1:32,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,IND 27,IND 40,415.0,515.0
3.0,3.0,Touchdown,2024-09-08T17:19:31.030Z,3.0,1:32,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,IND 27,IND 40,415.0,515.0
3.0,3.0,Touchdown,2024-09-08T17:19:31.030Z,3.0,1:32,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,IND 27,IND 40,415.0,515.0
3.0,3.0,Touchdown,2024-09-08T17:19:31.030Z,3.0,1:32,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,TOUCHDOWN,IND 27,IND 40,415.0,515.0
4.0,4.0,Field goal,2024-09-08T17:25:28.573Z,7.0,3:35,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 32,530.0,693.0
4.0,4.0,Field goal,2024-09-08T17:25:28.573Z,7.0,3:35,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 32,530.0,693.0
4.0,4.0,Field goal,2024-09-08T17:25:28.573Z,7.0,3:35,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 32,530.0,693.0
4.0,4.0,Field goal,2024-09-08T17:25:28.573Z,7.0,3:35,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 32,530.0,693.0
4.0,4.0,Field goal,2024-09-08T17:25:28.573Z,7.0,3:35,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 32,530.0,693.0
4.0,4.0,Field goal,2024-09-08T17:25:28.573Z,7.0,3:35,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 32,530.0,693.0
4.0,4.0,Field goal,2024-09-08T17:25:28.573Z,7.0,3:35,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 32,530.0,693.0
4.0,4.0,Field goal,2024-09-08T17:25:28.573Z,7.0,3:35,2.0,0.0,1.0,1.0,1.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 32,530.0,693.0
5.0,5.0,Punt,2024-09-08T17:32:51.783Z,3.0,1:37,0.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,PUNT,IND 30,IND 23,713.0,805.0
5.0,5.0,Punt,2024-09-08T17:32:51.783Z,3.0,1:37,0.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,PUNT,IND 30,IND 23,713.0,805.0
5.0,5.0,Punt,2024-09-08T17:32:51.783Z,3.0,1:37,0.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,PUNT,IND 30,IND 23,713.0,805.0
5.0,5.0,Punt,2024-09-08T17:32:51.783Z,3.0,1:37,0.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,PUNT,IND 30,IND 23,713.0,805.0
5.0,5.0,Punt,2024-09-08T17:32:51.783Z,3.0,1:37,0.0,0.0,0.0,1.0,1.0,0.0,KICKOFF,PUNT,IND 30,IND 23,713.0,805.0
0.0,6.0,Touchdown,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
6.0,6.0,Touchdown,2024-09-08T17:39:14.120Z,7.0,3:29,3.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,HOU 19,IND 9,845.0,1012.0
6.0,6.0,Touchdown,2024-09-08T17:39:14.120Z,7.0,3:29,3.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,HOU 19,IND 9,845.0,1012.0
6.0,6.0,Touchdown,2024-09-08T17:39:14.120Z,7.0,3:29,3.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,HOU 19,IND 9,845.0,1012.0
6.0,6.0,Touchdown,2024-09-08T17:39:14.120Z,7.0,3:29,3.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,HOU 19,IND 9,845.0,1012.0
6.0,6.0,Touchdown,2024-09-08T17:39:14.120Z,7.0,3:29,3.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,HOU 19,IND 9,845.0,1012.0
6.0,6.0,Touchdown,2024-09-08T17:39:14.120Z,7.0,3:29,3.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,HOU 19,IND 9,845.0,1012.0
6.0,6.0,Touchdown,2024-09-08T17:39:14.120Z,7.0,3:29,3.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,HOU 19,IND 9,845.0,1012.0
6.0,6.0,Touchdown,2024-09-08T17:39:14.120Z,7.0,3:29,3.0,1.0,1.0,2.0,2.0,0.0,PUNT,TOUCHDOWN,HOU 19,IND 9,845.0,1012.0
7.0,7.0,Punt,2024-09-08T17:47:34.017Z,4.0,1:41,1.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,IND 31,IND 46,1025.0,1159.0
7.0,7.0,Punt,2024-09-08T17:47:34.017Z,4.0,1:41,1.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,IND 31,IND 46,1025.0,1159.0
7.0,7.0,Punt,2024-09-08T17:47:34.017Z,4.0,1:41,1.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,IND 31,IND 46,1025.0,1159.0
7.0,7.0,Punt,2024-09-08T17:47:34.017Z,4.0,1:41,1.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,IND 31,IND 46,1025.0,1159.0
7.0,7.0,Punt,2024-09-08T17:47:34.017Z,4.0,1:41,1.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,IND 31,IND 46,1025.0,1159.0
7.0,7.0,Punt,2024-09-08T17:47:34.017Z,4.0,1:41,1.0,0.0,0.0,2.0,2.0,0.0,KICKOFF,PUNT,IND 31,IND 46,1025.0,1159.0
8.0,8.0,Punt,2024-09-08T17:54:30.647Z,3.0,1:21,0.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,HOU 15,HOU 11,1179.0,1282.0
8.0,8.0,Punt,2024-09-08T17:54:30.647Z,3.0,1:21,0.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,HOU 15,HOU 11,1179.0,1282.0
8.0,8.0,Punt,2024-09-08T17:54:30.647Z,3.0,1:21,0.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,HOU 15,HOU 11,1179.0,1282.0
8.0,8.0,Punt,2024-09-08T17:54:30.647Z,3.0,1:21,0.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,HOU 15,HOU 11,1179.0,1282.0
8.0,8.0,Punt,2024-09-08T17:54:30.647Z,3.0,1:21,0.0,0.0,0.0,2.0,2.0,-5.0,PUNT,PUNT,HOU 15,HOU 11,1179.0,1282.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
9.0,9.0,Turnover,2024-09-08T18:01:08.180Z,11.0,5:50,3.0,1.0,0.0,2.0,2.0,0.0,PUNT,INTERCEPTION,IND 33,HOU 20,1302.0,1543.0
10.0,10.0,End of half,2024-09-08T18:10:41.693Z,8.0,2:39,3.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,END_HALF,HOU 8,IND 38,1570.0,1867.0
10.0,10.0,End of half,2024-09-08T18:10:41.693Z,8.0,2:39,3.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,END_HALF,HOU 8,IND 38,1570.0,1867.0
10.0,10.0,End of half,2024-09-08T18:10:41.693Z,8.0,2:39,3.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,END_HALF,HOU 8,IND 38,1570.0,1867.0
10.0,10.0,End of half,2024-09-08T18:10:41.693Z,8.0,2:39,3.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,END_HALF,HOU 8,IND 38,1570.0,1867.0
10.0,10.0,End of half,2024-09-08T18:10:41.693Z,8.0,2:39,3.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,END_HALF,HOU 8,IND 38,1570.0,1867.0
10.0,10.0,End of half,2024-09-08T18:10:41.693Z,8.0,2:39,3.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,END_HALF,HOU 8,IND 38,1570.0,1867.0
10.0,10.0,End of half,2024-09-08T18:10:41.693Z,8.0,2:39,3.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,END_HALF,HOU 8,IND 38,1570.0,1867.0
10.0,10.0,End of half,2024-09-08T18:10:41.693Z,8.0,2:39,3.0,0.0,0.0,2.0,2.0,0.0,INTERCEPTION,END_HALF,HOU 8,IND 38,1570.0,1867.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
11.0,11.0,Field goal,2024-09-08T18:39:10.687Z,9.0,4:05,2.0,0.0,1.0,3.0,3.0,0.0,KICKOFF,FIELD_GOAL,HOU 30,IND 33,1887.0,2141.0
12.0,12.0,Punt,2024-09-08T18:49:18.063Z,3.0,2:00,0.0,0.0,0.0,3.0,3.0,0.0,KICKOFF,PUNT,IND 30,IND 35,2161.0,2249.0
12.0,12.0,Punt,2024-09-08T18:49:18.063Z,3.0,2:00,0.0,0.0,0.0,3.0,3.0,0.0,KICKOFF,PUNT,IND 30,IND 35,2161.0,2249.0
12.0,12.0,Punt,2024-09-08T18:49:18.063Z,3.0,2:00,0.0,0.0,0.0,3.0,3.0,0.0,KICKOFF,PUNT,IND 30,IND 35,2161.0,2249.0
12.0,12.0,Punt,2024-09-08T18:49:18.063Z,3.0,2:00,0.0,0.0,0.0,3.0,3.0,0.0,KICKOFF,PUNT,IND 30,IND 35,2161.0,2249.0
12.0,12.0,Punt,2024-09-08T18:49:18.063Z,3.0,2:00,0.0,0.0,0.0,3.0,3.0,0.0,KICKOFF,PUNT,IND 30,IND 35,2161.0,2249.0
