stadium,weather,location,div_game,roof,surface,temp,wind,stadium_id,game_stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
Lucas Oil Stadium,"Mostly sunny Temp: 63° F, Humidity: 41%, Wind: NNE 3 mph",Home,1,closed,fieldturf,0.0,0.0,IND00,Lucas Oil Stadium
