fantasy_player_name,fantasy_player_id,fantasy,fantasy_id
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Taylor,00-0036223,J.Taylor,00-0036223
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Mitchell,00-0039890,A.Mitchell,00-0039890
T.Dell,00-0038977,T.Dell,00-0038977
J.Mixon,00-0033897,J.Mixon,00-0033897
0,0,0,0
C.Stroud,00-0039163,C.Stroud,00-0039163
B.Jordan,00-0036556,B.Jordan,00-0036556
0,0,0,0
J.Mixon,00-0033897,J.Mixon,00-0033897
S.Diggs,00-0031588,S.Diggs,00-0031588
0,0,0,0
0,0,0,0
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Pierce,00-0037664,A.Pierce,00-0037664
0,0,0,0
0,0,0,0
D.Schultz,00-0034383,D.Schultz,00-0034383
J.Mixon,00-0033897,J.Mixon,00-0033897
T.Dell,00-0038977,T.Dell,00-0038977
S.Diggs,00-0031588,S.Diggs,00-0031588
J.Mixon,00-0033897,J.Mixon,00-0033897
0,0,0,0
0,0,0,0
0,0,0,0
M.Pittman,00-0036252,M.Pittman,00-0036252
M.Pittman,00-0036252,M.Pittman,00-0036252
0,0,0,0
0,0,0,0
0,0,0,0
S.Diggs,00-0031588,S.Diggs,00-0031588
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
N.Collins,00-0036554,N.Collins,00-0036554
D.Pierce,00-0037258,D.Pierce,00-0037258
T.Dell,00-0038977,T.Dell,00-0038977
S.Diggs,00-0031588,S.Diggs,00-0031588
J.Mixon,00-0033897,J.Mixon,00-0033897
0,0,0,0
A.Richardson,00-0039164,A.Richardson,00-0039164
A.Mitchell,00-0039890,A.Mitchell,00-0039890
A.Mitchell,00-0039890,A.Mitchell,00-0039890
M.Pittman,00-0036252,M.Pittman,00-0036252
0,0,0,0
J.Mixon,00-0033897,J.Mixon,00-0033897
N.Collins,00-0036554,N.Collins,00-0036554
0,0,0,0
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Mitchell,00-0039890,A.Mitchell,00-0039890
A.Pierce,00-0037664,A.Pierce,00-0037664
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
K.Granson,00-0036876,K.Granson,00-0036876
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
N.Collins,00-0036554,N.Collins,00-0036554
D.Schultz,00-0034383,D.Schultz,00-0034383
N.Collins,00-0036554,N.Collins,00-0036554
N.Collins,00-0036554,N.Collins,00-0036554
D.Schultz,00-0034383,D.Schultz,00-0034383
0,0,0,0
J.Mixon,00-0033897,J.Mixon,00-0033897
S.Diggs,00-0031588,S.Diggs,00-0031588
0,0,0,0
J.Mixon,00-0033897,J.Mixon,00-0033897
T.Dell,00-0038977,T.Dell,00-0038977
T.Dell,00-0038977,T.Dell,00-0038977
J.Mixon,00-0033897,J.Mixon,00-0033897
D.Ogunbowale,00-0033854,D.Ogunbowale,00-0033854
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
0,0,0,0
J.Mixon,00-0033897,J.Mixon,00-0033897
0,0,D.Schultz,00-0034383
J.Mixon,00-0033897,J.Mixon,00-0033897
T.Dell,00-0038977,T.Dell,00-0038977
X.Hutchinson,00-0038618,X.Hutchinson,00-0038618
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
B.Jordan,00-0036556,B.Jordan,00-0036556
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
N.Collins,00-0036554,N.Collins,00-0036554
T.Dell,00-0038977,T.Dell,00-0038977
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
N.Collins,00-0036554,N.Collins,00-0036554
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
0,0,0,0
S.Diggs,00-0031588,S.Diggs,00-0031588
J.Mixon,00-0033897,J.Mixon,00-0033897
0,0,D.Schultz,00-0034383
J.Mixon,00-0033897,J.Mixon,00-0033897
0,0,0,0
0,0,0,0
0,0,A.Mitchell,00-0039890
M.Pittman,00-0036252,M.Pittman,00-0036252
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Dulin,00-0035021,A.Dulin,00-0035021
0,0,0,0
0,0,0,0
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
T.Dell,00-0038977,T.Dell,00-0038977
D.Pierce,00-0037258,D.Pierce,00-0037258
D.Pierce,00-0037258,D.Pierce,00-0037258
T.Dell,00-0038977,T.Dell,00-0038977
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
C.Stroud,00-0039163,C.Stroud,00-0039163
S.Diggs,00-0031588,S.Diggs,00-0031588
0,0,0,0
0,0,0,0
A.Mitchell,00-0039890,A.Mitchell,00-0039890
M.Pittman,00-0036252,M.Pittman,00-0036252
0,0,0,0
A.Pierce,00-0037664,A.Pierce,00-0037664
A.Richardson,00-0039164,A.Richardson,00-0039164
M.Alie-Cox,00-0033217,M.Alie-Cox,00-0033217
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Richardson,00-0039164,A.Richardson,00-0039164
0,0,0,0
0,0,0,0
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
0,0,0,0
N.Collins,00-0036554,N.Collins,00-0036554
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
J.Mixon,00-0033897,J.Mixon,00-0033897
C.Stroud,00-0039163,C.Stroud,00-0039163
C.Stroud,00-0039163,C.Stroud,00-0039163
0,0,0,0
0,0,0,0
J.Jacobs,00-0035700,J.Jacobs,00-0035700
J.Jacobs,00-0035700,J.Jacobs,00-0035700
0,0,T.Kraft,00-0038996
M.Lloyd,00-0039811,M.Lloyd,00-0039811
J.Jacobs,00-0035700,J.Jacobs,00-0035700
Em.Wilson,00-0038797,Em.Wilson,00-0038797
Em.Wilson,00-0038797,Em.Wilson,00-0038797
J.Reed,00-0039146,J.Reed,00-0039146
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Mitchell,00-0039890,A.Mitchell,00-0039890
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
J.Reed,00-0039146,J.Reed,00-0039146
J.Jacobs,00-0035700,J.Jacobs,00-0035700
J.Jacobs,00-0035700,J.Jacobs,00-0035700
J.Jacobs,00-0035700,J.Jacobs,00-0035700
J.Jacobs,00-0035700,J.Jacobs,00-0035700
Em.Wilson,00-0038797,Em.Wilson,00-0038797
Em.Wilson,00-0038797,Em.Wilson,00-0038797
B.Melton,00-0037091,B.Melton,00-0037091
0,0,J.Jacobs,00-0035700
M.Lloyd,00-0039811,M.Lloyd,00-0039811
M.Willis,00-0038128,M.Willis,00-0038128
D.Wicks,00-0038393,D.Wicks,00-0038393
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Dulin,00-0035021,A.Dulin,00-0035021
A.Pierce,00-0037664,A.Pierce,00-0037664
