,receiver_player_name,play_type,week,posteam,receiving_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,A.Dulin,pass,1,IND,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.04068283,0.090255804,0.0013241464,0.14523982,0.26670727,0.0033606743,0.4524294,0.0,0.0,2.6837547,4.3162456,-8.005467,8.005467,-0.3375663,0.3375663,-7.7275467,7.7275467,1.0779929,3.2382524,1.0779929,3.2382524,-0.9956973,0.9956973,-2.453134,2.453134,5.842048,-5.842048,-16.256182,16.256182,0.19955625,0.80044377,0.19955625,0.80044377,0.15262243,0.35217866,0.6478213,-0.06431347,0.06431347,-0.1946888,0.1946888,0.0,0.15262243,0.0,0.15262243,0.13475929,-0.13475929,-0.2865548,0.2865548,0.13475929,-0.13475929,-0.4230217,0.4230217,0.59517837,40.482162,4.3162456,0.34600633,4.7723527,2.0,1.0,1.0,0.64721024,10.0
1,A.Mitchell,pass,1,IND,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108469784,0.092658415,0.001127379,0.14178093,0.24756694,0.0033542055,0.4050424,0.0,0.0,2.3120093,-1.1908829,-8.168261,8.168261,-0.111797474,0.111797474,-8.106674,8.106674,1.6128935,-2.8037763,-0.14120111,0.052533098,-2.4509048,2.4509048,-2.209856,2.209856,2.4531066,-2.4531066,-11.884817,11.884817,0.3595375,0.6404625,0.3595375,0.6404625,-0.023110393,0.33642712,0.6635729,-0.043805905,0.043805905,-0.19788584,0.19788584,0.0,-0.023110393,0.0,-0.0036881207,0.021128047,-0.021128047,-0.19547154,0.19547154,0.021128047,-0.021128047,-0.26628596,0.26628596,0.59003174,-39.00318,-1.1908829,0.44682008,5.099001,2.8,0.71446264,0.64474285,0.5654088,7.8
2,A.Pierce,pass,1,IND,125.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.15160643,0.091320135,0.0012778161,0.147551,0.25824222,0.002403044,0.3475994,0.0,0.0,1.9033555,3.3711479,-5.044182,5.044182,0.14527233,-0.14527233,-4.89271,4.89271,2.8604004,0.510747,2.8604004,0.510747,0.5996969,-0.5996969,-2.258208,2.258208,7.406035,-7.406035,-14.563359,14.563359,0.31529427,0.68470573,0.31529427,0.68470573,0.09865269,0.41394696,0.5860531,-0.049739465,0.049739465,-0.115383625,0.115383625,0.03899065,0.059662044,0.03899065,0.059662044,0.05255726,-0.05255726,-0.15016651,0.15016651,0.05255726,-0.05255726,-0.23877768,0.23877768,0.4393483,56.06517,3.3711479,0.67973405,3.716173,2.6666667,0.9509242,0.76164913,0.70412236,11.666667
3,M.Alie-Cox,pass,1,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052866608,0.007951204,0.00020714011,0.010502689,0.20123927,0.00069196546,0.7265411,0.0,0.0,5.593103,-0.50297713,-9.739747,9.739747,-0.5143364,0.5143364,-8.811516,8.811516,1.4068973,-1.9098744,0.0,0.0,1.2109759,-1.2109759,-4.1468096,4.1468096,11.8211565,-11.8211565,-23.31926,23.31926,0.20439692,0.7956031,0.20439692,0.7956031,-0.0151464045,0.18925051,0.8107495,-0.116782635,0.116782635,-0.30011195,0.30011195,0.0,-0.0151464045,0.0,0.0,0.090893336,-0.090893336,-0.3136121,0.3136121,0.090893336,-0.090893336,-0.4845789,0.4845789,0.5013083,-50.130833,-0.50297713,0.0,0.0,0.0,0.0,0.0,0.6912987,6.0
4,K.Granson,pass,1,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14011976,0.013144749,0.0004015528,0.025858713,0.47144052,0.0009125565,0.34812212,0.0,0.0,3.6317532,-3.8699644,-10.246234,10.246234,1.4053851,-1.4053851,-11.579598,11.579598,1.57641,-5.4463744,0.0,0.0,-3.0144262,3.0144262,-1.9644638,1.9644638,7.3259573,-7.3259573,-21.394539,21.394539,0.42242506,0.57757497,0.42242506,0.57757497,-0.10511038,0.31731468,0.6826853,0.001482326,-0.001482326,-0.2734251,0.2734251,0.0,-0.10511038,0.0,0.0,0.032470196,-0.032470196,-0.19204117,0.19204117,0.032470196,-0.032470196,-0.38369942,0.38369942,0.5387539,-53.875393,-3.8699644,0.4564756,2.4138014,1.0,1.0,0.97387075,0.8586386,12.0
5,M.Pittman,pass,1,IND,31.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.063859984,0.12448169,0.0018447351,0.20056808,0.22143568,0.0035396323,0.38427022,0.0,0.0,1.5801667,-0.31408888,-6.6163306,6.6163306,-0.7942056,0.7942056,-5.4860864,5.4860864,0.6064128,-0.9205017,0.010847837,0.113118716,-0.50529397,0.50529397,-2.5538611,2.5538611,3.7597451,-3.7597451,-11.186209,11.186209,0.38788432,0.6121157,0.38788432,0.6121157,-0.0057802694,0.38210404,0.61789596,-0.054689445,0.054689445,-0.13558725,0.13558725,0.005989151,-0.0117694205,0.005989151,-0.00115408,0.049605712,-0.049605712,-0.17908141,0.17908141,0.049605712,-0.049605712,-0.25248128,0.25248128,0.72462636,-22.462637,-0.31408888,0.50013626,4.510752,2.5,0.8795433,0.670841,0.71030945,8.875
6,A.Mitchell,pass,2,IND,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.38642624,0.09286234,0.0018863999,0.13960013,0.15085976,0.0018203356,0.2265448,0.0,0.0,0.78247285,-0.014829168,7.824377,-7.824377,-2.9776528,2.9776528,9.3249445,-9.3249445,1.4012905,-1.4161197,0.4508851,0.01679482,-0.84932375,0.84932375,0.30785036,-0.30785036,-3.0320418,3.0320418,11.571673,-11.571673,0.17864442,0.8213556,0.8213556,0.17864442,-0.008214226,0.8295698,0.1704302,0.09632922,-0.09632922,0.12848485,-0.12848485,-0.0025784494,-0.0056357766,0.0,0.002883655,-0.034328017,0.034328017,0.003395062,-0.003395062,-0.3384503,0.3384503,0.4527818,-0.4527818,0.46764043,-21.764042,-0.014829168,0.4484975,6.0180635,2.5,0.99987286,0.9994972,0.844254,8.75
7,T.Goodson,pass,2,IND,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196097,0.075208955,0.00074468757,0.09746225,0.16580218,0.0025296195,0.23864257,0.0,0.0,1.2636118,-0.36448836,13.90618,-13.90618,-7.5970793,7.5970793,20.755733,-20.755733,-0.36448836,0.0,-0.36448836,0.0,2.3055487,-2.3055487,2.0029564,-2.0029564,0.0205289,-0.0205289,19.16458,-19.16458,0.03932806,0.96067196,0.96067196,0.03932806,-0.00977337,0.97044533,0.029554691,0.095525496,-0.095525496,0.23092355,-0.23092355,-0.00977337,0.0,-0.00977337,0.0,-0.015031386,0.015031386,-0.00690215,0.00690215,-0.62869185,0.62869185,0.8313087,-0.8313087,0.801662,19.833797,-0.36448836,0.64694726,5.473912,4.0,0.6348437,0.22774054,0.95129246,10.0
8,M.Alie-Cox,pass,2,IND,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.009397208,0.07654615,0.0011628834,0.14342526,0.31055525,0.003915703,0.45499757,0.0,0.0,2.888539,1.622517,10.471478,-10.471478,-3.5718088,3.5718088,14.374182,-14.374182,0.9750327,0.64748424,0.9750327,0.64748424,-1.1746442,1.1746442,2.5572717,-2.5572717,-1.8744038,1.8744038,14.67796,-14.67796,0.10839206,0.89160794,0.89160794,0.10839206,0.04169397,0.84991395,0.15008603,0.08115844,-0.08115844,0.1998927,-0.1998927,0.0,0.04169397,0.0,0.04169397,-0.047892183,0.047892183,0.029636022,-0.029636022,-0.66155267,0.66155267,0.83313864,-0.83313864,0.7117226,28.82774,1.622517,0.3619609,4.3857594,2.0,1.0,0.99892575,0.56901985,10.0
9,A.Pierce,pass,2,IND,56.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.3020596,0.044156373,0.002714135,0.0632454,0.2200679,0.0022346417,0.36552194,0.0,0.0,2.6427114,-0.032915223,9.814227,-9.814227,-6.420547,6.420547,15.576063,-15.576063,1.2092991,-1.2422142,0.6704874,0.07219636,-0.87869585,0.87869585,1.0659667,-1.0659667,-4.696259,4.696259,18.926071,-18.926071,0.09060626,0.9093937,0.9093937,0.09060626,-0.005952384,0.91534615,0.08465387,0.09253799,-0.09253799,0.20300892,-0.20300892,0.00095267885,-0.006905063,0.00095267885,0.0029276472,-0.023162125,0.023162125,-0.010007219,0.010007219,-0.5489348,0.5489348,0.72768086,-0.72768086,0.5556598,15.862596,-0.032915223,0.34945178,4.129162,2.2857144,0.8547822,0.7526436,0.7723074,7.571429
