,rusher_player_name,play_type,week,posteam,rushing_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,A.Richardson,run,1,IND,56.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.08820631,0.066059686,0.0010937963,0.11035786,0.3551519,0.00203903,0.37709144,0.0,0.0,2.7363021,1.4605147,-6.7701783,6.7701783,0.678947,-0.678947,-7.2060714,7.2060714,0.0,0.0,0.0,0.0,-0.9127951,0.9127951,-2.8805463,2.8805463,5.4830527,-5.4830527,-14.804828,14.804828,0.31321946,0.6867805,0.31321946,0.6867805,0.038931195,0.35215068,0.6478493,-0.04223496,0.04223496,-0.18951029,0.18951029,0.0,0.0,0.0,0.0,0.05225092,-0.05225092,-0.22247823,0.22247823,0.05225092,-0.05225092,-0.3111578,0.3111578,0.0,0.0,1.4605147,0.0,0.0,0.0,0.0,0.0,0.73745376,6.6666665
1,J.Taylor,run,1,IND,48.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.05500514,0.0753456,0.001200925,0.11978124,0.2325153,0.0024619293,0.45486632,0.0,0.027852941,2.8753326,-0.20275927,-6.9758644,6.9758644,0.10304894,-0.10304894,-7.0671425,7.0671425,0.0,0.0,0.0,0.0,-1.425437,1.425437,-2.6478174,2.6478174,3.8576493,-3.8576493,-12.981443,12.981443,0.37639707,0.6236029,0.37639707,0.6236029,-0.006272067,0.37012503,0.62987494,-0.038320154,0.038320154,-0.17967682,0.17967682,0.0,0.0,0.0,0.0,0.07341708,-0.07341708,-0.23220553,0.23220553,0.07341708,-0.07341708,-0.31964883,0.31964883,0.0,0.0,-0.20275927,0.0,0.0,0.0,0.0,0.0,0.5669132,6.2941175
2,J.Taylor,run,2,IND,103.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.10706058,0.10584322,0.0024497488,0.18527855,0.22973625,0.002594766,0.3670369,0.0,0.0,1.6442776,0.29443988,9.062188,-9.062188,0.06411747,-0.06411747,9.383397,-9.383397,0.0,0.0,0.0,0.0,-0.29868665,0.29868665,1.1463871,-1.1463871,-1.0561198,1.0561198,9.7850895,-9.7850895,0.19531538,0.80468464,0.80468464,0.19531538,0.003976892,0.80070776,0.19929226,0.09914678,-0.09914678,0.13397965,-0.13397965,0.0,0.0,0.0,0.0,-0.04164057,0.04164057,0.038329314,-0.038329314,-0.29733244,0.29733244,0.41951764,-0.41951764,0.0,0.0,0.29443988,0.0,0.0,0.0,0.0,0.0,0.5374658,8.666667
3,A.Richardson,run,2,IND,37.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,0.31507635,0.041855432,0.0011613062,0.069570735,0.3304671,0.0012728987,0.24059619,0.0,0.0,2.0632362,0.6011325,9.074419,-9.074419,-5.651266,5.651266,14.528148,-14.528148,0.0,0.0,0.0,0.0,-1.2321861,1.2321861,1.5027416,-1.5027416,-5.099242,5.099242,18.44942,-18.44942,0.11058928,0.88941073,0.88941073,0.11058928,-0.0010028286,0.8904136,0.10958645,0.09231846,-0.09231846,0.2043032,-0.2043032,0.0,0.0,0.0,0.0,-0.03380137,0.03380137,0.01939141,-0.01939141,-0.49120933,0.49120933,0.6742825,-0.6742825,0.0,0.0,0.6011325,0.0,0.0,0.0,0.0,0.0,0.7451408,10.25
4,T.Sermon,run,2,IND,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11041948,0.031036299,0.00046831684,0.049171064,0.44822866,0.0012558816,0.3594203,0.0,0.0,3.4248967,-1.4389697,10.706543,-10.706543,-5.269187,5.269187,15.306046,-15.306046,0.0,0.0,0.0,0.0,-1.099331,1.099331,0.65622425,-0.65622425,-4.517235,4.517235,18.252655,-18.252655,0.11413187,0.88586813,0.88586813,0.11413187,-0.035695817,0.9215639,0.078436054,0.10835925,-0.10835925,0.1925949,-0.1925949,0.0,0.0,0.0,0.0,-0.027081693,0.027081693,-0.026909117,0.026909117,-0.6404832,0.6404832,0.8047714,-0.8047714,0.0,0.0,-1.4389697,0.0,0.0,0.0,0.0,0.0,0.642132,5.5
5,J.Taylor,run,3,IND,110.0,6.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,0.0,0.0,23.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,7.0,1.0,0.13226649,0.0848533,0.0012363894,0.13847151,0.21366331,0.0034415245,0.42606747,0.0,0.0,2.4040122,-0.13384272,5.3692784,-5.3692784,5.992065,-5.992065,0.15432774,-0.15432774,0.0,0.0,0.0,0.0,4.847661,-4.847661,-9.412121,9.412121,-3.456699,3.456699,1.3010193,-1.3010193,0.756872,0.24312799,0.756872,0.24312799,-0.00288513,0.75398684,0.24601312,0.09785001,-0.09785001,0.12574412,-0.12574412,0.0,0.0,0.0,0.0,-0.19911243,0.19911243,0.12375599,-0.12375599,-0.20133495,0.20133495,0.25551143,-0.25551143,0.0,0.0,-0.13384272,0.0,0.0,0.0,0.0,0.0,0.5050145,7.130435
6,A.Richardson,run,3,IND,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.017940786,0.044979412,0.0005738683,0.07503121,0.2619598,0.0029900374,0.5965249,0.0,0.0,4.3062296,0.15441911,6.812503,-6.812503,6.170197,-6.170197,1.4229475,-1.4229475,0.0,0.0,0.0,0.0,5.5230083,-5.5230083,-7.976445,7.976445,-2.53125,2.53125,1.9851515,-1.9851515,0.76528996,0.23471002,0.76528996,0.23471002,0.013414478,0.77870446,0.22129555,0.10083771,-0.10083771,0.15160704,-0.15160704,0.0,0.0,0.0,0.0,-0.19398221,0.19398221,0.15891293,-0.15891293,-0.19680873,0.19680873,0.2794314,-0.2794314,0.0,0.0,0.15441911,0.0,0.0,0.0,0.0,0.0,0.5101336,8.2
7,A.Richardson,qb_kneel,3,IND,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.984871,-3.984871,9.047557,-9.047557,-2.982712,2.982712,0.0,0.0,0.0,0.0,0.0008237854,-0.0008237854,-15.983665,15.983665,-12.040082,12.040082,-0.3357997,0.3357997,0.9690134,0.030986587,0.9690134,0.030986587,0.0,0.0,0.0,0.26215369,-0.26215369,0.18798737,-0.18798737,0.0,0.0,0.0,0.0,-0.23254101,0.23254101,0.037404332,-0.037404332,-0.22983472,0.22983472,0.19706328,-0.19706328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666667
8,T.Sermon,run,3,IND,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0057029603,0.017169463,0.0002959196,0.022937244,0.21562141,0.0009921035,0.7372809,0.0,0.0,5.5971537,0.8659437,9.506276,-9.506276,6.856705,-6.856705,3.9335055,-3.9335055,0.0,0.0,0.0,0.0,6.159773,-6.159773,-7.0196424,7.0196424,-3.4304395,3.4304395,5.906873,-5.906873,0.8360775,0.16392249,0.8360775,0.16392249,0.024770835,0.8608483,0.13915165,0.093676,-0.093676,0.24754818,-0.24754818,0.0,0.0,0.0,0.0,-0.18610594,0.18610594,0.18508273,-0.18508273,-0.18893245,0.18893245,0.37229007,-0.37229007,0.0,0.0,0.8659437,0.0,0.0,0.0,0.0,0.0,0.3448802,5.5
9,A.Mitchell,run,4,IND,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.013338985,0.041754384,0.00050956284,0.060655262,0.44398373,0.00082375464,0.4389343,0.0,0.0,3.8552697,1.1131896,19.57648,-19.57648,14.047189,-14.047189,7.6617,-7.6617,0.0,0.0,0.0,0.0,2.9245996,-2.9245996,5.39951,-5.39951,6.751918,-6.751918,0.90978193,-0.90978193,0.9097553,0.09024471,0.9097553,0.09024471,0.014430523,0.9241858,0.07581419,0.29093197,-0.29093197,0.13961327,-0.13961327,0.0,0.0,0.0,0.0,0.0056706667,-0.0056706667,0.14141303,-0.14141303,0.0056706667,-0.0056706667,0.1339426,-0.1339426,0.0,0.0,1.1131896,0.0,0.0,0.0,0.0,0.0,0.72800183,8.0
