play_type,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,play_type_nfl,special_teams_play,st_play_type,pass,rush,special,play
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,KICK_OFF,1.0,0,0.0,0.0,1.0,0.0
run,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left,guard,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,right,13.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
run,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,right,end,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-1.0,7.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
run,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,middle,0,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,right,7.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,right,guard,RUSH,0.0,0,0.0,1.0,0.0,1.0
no_play,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,PENALTY,0.0,0,0.0,0.0,0.0,1.0
run,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,middle,0,RUSH,0.0,0,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,short,middle,1.0,2.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,SACK,0.0,0,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-2.0,9.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,6.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,FIELD_GOAL,0.0,0,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,KICK_OFF,1.0,0,0.0,0.0,1.0,0.0
run,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,middle,0,RUSH,0.0,0,0.0,1.0,0.0,1.0
run,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left,end,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,deep,middle,58.0,2.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,XP_KICK,1.0,0,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,KICK_OFF,1.0,0,0.0,0.0,1.0,0.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,short,right,1.0,3.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left,tackle,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,1.0,1.0,1.0,0.0,0.0,0.0,deep,right,16.0,7.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,1.0,1.0,1.0,0.0,0.0,0.0,short,middle,2.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left,end,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,SACK,0.0,0,1.0,0.0,0.0,1.0
field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,FIELD_GOAL,0.0,0,0.0,0.0,1.0,0.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,KICK_OFF,1.0,0,0.0,0.0,1.0,0.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,short,left,14.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,SACK,0.0,0,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,PUNT,1.0,0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,END_QUARTER,0.0,0,0.0,0.0,0.0,0.0
run,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left,end,RUSH,0.0,0,0.0,1.0,0.0,1.0
run,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,right,end,RUSH,0.0,0,0.0,1.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left,end,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,deep,middle,53.0,2.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
run,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left,tackle,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,0.0,0.0,1.0,0.0,0.0,0.0,short,right,9.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,6.0,3.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
run,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,PAT2,0.0,0,0.0,1.0,0.0,1.0
kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,KICK_OFF,1.0,0,0.0,0.0,1.0,0.0
run,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left,end,RUSH,0.0,0,0.0,1.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-1.0,3.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,left,14.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
pass,1.0,0.0,1.0,0.0,0.0,0.0,short,left,13.0,0.0,0,0,PASS,0.0,0,1.0,0.0,0.0,1.0
punt,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,PUNT,1.0,0,0.0,0.0,1.0,0.0
