home_team,away_team,posteam,posteam_type,defteam,td_team,return_team,penalty_team,home_coach,away_coach
IND,HOU,IND,home,HOU,0,IND,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,HOU,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,IND,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,IND,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,HOU,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,IND,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,HOU,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,HOU,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,IND,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,HOU,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,HOU,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,IND,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,HOU,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,HOU,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,HOU,away,IND,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,IND,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,0,0,Shane Steichen,DeMeco Ryans
IND,HOU,IND,home,HOU,0,HOU,0,Shane Steichen,DeMeco Ryans
