,passer_player_name,play_type,week,posteam,passing_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,C.Stroud,pass,1,HOU,234.0,0.0,13.0,0.0,5.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,36.0,4.0,2.0,2.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,3.0,0.110694975,0.09070661,0.0013491684,0.15733588,0.2892138,0.003085534,0.34761402,0.0,0.0,1.9309412,0.20854715,-8.347277,8.347277,-0.172297,0.172297,-8.205139,8.205139,0.42962283,-0.018038634,0.2655084,0.28013662,-1.5113348,1.5113348,-2.6727862,2.6727862,4.05269,-4.05269,-14.236832,14.236832,0.65454215,0.34545785,0.34545785,0.65454215,0.011811281,0.33364657,0.66635346,-0.051407818,0.051407818,-0.19824111,0.19824111,0.0042170994,0.013506204,0.0042170994,0.017154094,0.07632392,-0.07632392,-0.23808977,0.23808977,0.07632392,-0.07632392,-0.34006757,0.34006757,0.5825699,8.409675,0.20854715,0.63172317,4.31461,2.8611112,0.6235794,0.49031508,0.67458636,8.388889
1,M.Willis,pass,2,GB,122.0,0.0,6.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.067782834,0.09323282,0.0012297796,0.15147582,0.31790012,0.0031172244,0.3652614,0.0,0.0,2.1742759,0.6419139,12.875929,-12.875929,-0.61464447,0.61464447,12.550965,-12.550965,0.3463624,0.29555145,0.10540994,0.637849,0.2125763,-0.2125763,1.7048367,-1.7048367,-0.641761,0.641761,12.183039,-12.183039,0.8608437,0.1391563,0.8608437,0.1391563,0.004101179,0.8649449,0.13505511,0.10782344,-0.10782344,0.16372503,-0.16372503,-0.0032049927,0.0073061725,-0.0032049927,0.008966046,-0.036968503,0.036968503,0.030283542,-0.030283542,-0.43146452,0.43146452,0.5769924,-0.5769924,0.6641989,19.294401,0.6419139,0.7567897,5.827896,4.071429,0.68506294,0.52511936,0.77919376,10.0
2,C.Williams,qb_spike,3,CHI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79078144,0.0015854983,0.0008301243,0.0056458977,0.16972545,0.0007606694,0.030670917,0.0,0.0,0.67945606,-0.27423477,8.868526,-8.868526,8.182166,-8.182166,-0.9236515,0.9236515,0.0,0.0,0.0,0.0,9.285618,-9.285618,-11.526735,11.526735,0.90988463,-0.90988463,-1.3183477,1.3183477,0.23922445,0.76077557,0.76077557,0.23922445,-0.035107717,0.7958833,0.20411673,0.12314888,-0.12314888,0.038529158,-0.038529158,0.0,0.0,0.0,0.0,-0.18479168,0.18479168,0.12812379,-0.12812379,-0.1876182,0.1876182,0.21907648,-0.21907648,0.0,0.0,-0.27423477,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,C.Williams,pass,3,CHI,363.0,0.0,18.0,0.0,7.0,9.0,3.0,0.0,16.0,2.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,5.0,0.0,56.0,4.0,2.0,2.0,0.0,0.0,1.0,33.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,8.0,0.15502237,0.074854925,0.0012074105,0.124916576,0.27194792,0.002048652,0.352145,0.0,0.0084553575,2.2004712,-0.1305413,5.4405856,-5.4405856,6.7659516,-6.7659516,-1.0404958,1.0404958,0.43197966,-0.35693172,0.010615255,0.44339213,4.900641,-4.900641,-9.597503,9.597503,-2.8237202,2.8237202,-0.20747696,0.20747696,0.24680734,0.7531927,0.7531927,0.24680734,-0.0060236556,0.7592163,0.24078368,0.11699283,-0.11699283,0.09313618,-0.09313618,0.0042419145,-0.005649369,0.004290241,0.004988476,-0.19109878,0.19109878,0.1161068,-0.1161068,-0.19327772,0.19327772,0.22324674,-0.22324674,0.5658685,2.3417218,-0.1305413,0.78374344,3.987106,2.642857,0.6042379,0.47787207,0.76661444,8.339286
4,J.Fields,pass,4,PIT,312.0,0.0,11.0,1.0,4.0,5.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,19.0,0.0,2.0,0.0,2.0,7.0,0.0,37.0,4.0,1.0,1.0,0.0,0.0,2.0,22.0,5.0,0.0,0.0,0.0,0.0,28.0,0.0,16.0,11.0,4.0,0.15898533,0.07786852,0.001198338,0.12415271,0.2595035,0.0027988085,0.37549275,0.0,0.0,2.3074863,-0.06441586,11.535181,-11.535181,3.9358487,-3.9358487,11.8265705,-11.8265705,0.3067749,-0.13818823,0.13589558,0.3067822,1.8005314,-1.8005314,6.7297497,-6.7297497,14.518625,-14.518625,-6.52895,6.52895,0.13821024,0.86178976,0.86178976,0.13821024,-0.00090607314,0.8626959,0.13730416,0.19968648,-0.19968648,0.16475654,-0.16475654,1.2002684e-05,0.0010474159,4.0798976e-05,0.0067837834,0.030229317,-0.030229317,0.12751026,-0.12751026,0.029920591,-0.029920591,0.10336867,-0.10336867,0.58389616,1.0698406,0.09361221,0.6317237,4.6729083,3.2702703,0.58967024,0.3932626,0.77666104,9.675675
5,J.Fields,qb_spike,4,PIT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.30589578,0.0016816607,0.0003188697,0.0049959426,0.65836793,0.0003565471,0.028383262,0.0,0.0,2.1338453,0.090374276,16.383183,-16.383183,6.6991386,-6.6991386,11.643626,-11.643626,0.0,0.0,0.0,0.0,3.2710087,-3.2710087,8.9574,-8.9574,17.659016,-17.659016,-7.464549,7.464549,0.08777521,0.91222477,0.91222477,0.08777521,-0.012178056,0.92440283,0.07559715,0.21053216,-0.21053216,0.17729703,-0.17729703,0.0,0.0,0.0,0.0,0.010063037,-0.010063037,0.18510479,-0.18510479,0.010063037,-0.010063037,0.1482718,-0.1482718,0.0,0.0,0.090374276,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,T.Lawrence,pass,5,JAX,371.0,0.0,13.0,0.0,2.0,4.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,2.0,2.0,0.0,0.0,1.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,6.0,0.2081001,0.08521007,0.0012755862,0.12592104,0.25645524,0.0022599306,0.32077804,0.0,0.0,1.8797032,0.3963889,1.0298023,-1.0298023,-0.3650484,0.3650484,0.9942482,-0.9942482,0.31888062,0.077508286,0.077017285,0.5452731,-4.9211035,4.9211035,4.1818867,-4.1818867,-5.645298,5.645298,4.0747566,-4.0747566,0.61764055,0.38235945,0.61764055,0.38235945,0.013954468,0.6315951,0.36840498,-0.014108599,0.014108599,0.08070434,-0.08070434,0.0024876175,0.0114668505,0.0024876175,0.018166319,-0.111488976,0.111488976,0.06264776,-0.06264776,-0.113532454,0.113532454,0.07920896,-0.07920896,0.7094688,11.406061,0.4928437,0.6734573,5.663761,3.9705882,0.7518083,0.523986,0.67000294,9.588235
7,W.Levis,pass,6,TEN,95.0,0.0,7.0,0.0,2.0,5.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,27.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,3.0,0.2095837,0.0981816,0.0019155388,0.15451396,0.22540206,0.0031789055,0.30722424,0.0,0.0,1.4531599,-0.21055047,-0.67802304,0.67802304,4.412516,-4.412516,-1.0087091,1.0087091,0.5102477,-0.72079813,0.009720862,0.14756876,-1.5843478,1.5843478,-6.8874726,6.8874726,-10.037397,10.037397,9.028688,-9.028688,0.4904798,0.50952023,0.4904798,0.50952023,-0.013750337,0.47672942,0.52327055,0.14705297,-0.14705297,-0.03967158,0.03967158,0.0056018047,-0.01935214,0.0056018047,-0.0016252609,-0.12708057,0.12708057,-0.1152741,0.1152741,-0.13357498,0.13357498,0.09390339,-0.09390339,0.63123363,-3.864107,-0.21055047,0.59956044,5.8043356,3.7407408,0.76168495,0.6418896,0.7257467,9.962963
8,T.Boyle,qb_spike,7,MIA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36438426,0.003410933,0.00037405043,0.008177726,0.54057914,0.00048204133,0.082591794,0.0,0.0,2.1326191,-0.20993757,4.7903285,-4.7903285,8.637497,-8.637497,-5.001548,5.001548,0.0,0.0,0.0,0.0,-1.9058534,1.9058534,-1.8791257,1.8791257,3.2879639,-3.2879639,-11.55739,11.55739,0.1601862,0.8398138,0.8398138,0.1601862,-0.043223396,0.8830372,0.116962805,0.35394716,-0.35394716,-0.12738109,0.12738109,0.0,0.0,0.0,0.0,0.032231018,-0.032231018,-0.07658455,0.07658455,0.032231018,-0.032231018,-0.267326,0.267326,0.0,0.0,-0.20993757,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,T.Boyle,pass,7,MIA,74.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.31155437,0.061462674,0.0011327866,0.10512354,0.26102027,0.0017697704,0.25793657,0.0,0.0,1.669638,0.054978233,2.2367704,-2.2367704,8.430434,-8.430434,-5.609224,5.609224,0.10892787,-0.053949635,0.040694684,0.3612531,-2.6624186,2.6624186,-1.9862741,1.9862741,2.0053375,-2.0053375,-10.88244,10.88244,0.27804318,0.7219568,0.7219568,0.27804318,-0.002893782,0.72485065,0.27514938,0.32303596,-0.32303596,-0.17648351,0.17648351,-7.510061e-05,-0.0028186813,-0.00015762821,0.014911652,-0.033386778,0.033386778,-0.06195183,0.06195183,-0.03346931,0.03346931,-0.25072813,0.25072813,0.7053096,-3.8642972,0.054978233,0.5213716,4.5044775,2.9166667,0.70157915,0.4864892,0.9257796,8.25
