,receiver_player_name,play_type,week,posteam,receiving_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,S.Diggs,pass,1,HOU,33.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.016003026,0.060988873,0.00093492406,0.10791127,0.40761733,0.0024776554,0.40406692,0.0,0.0,3.1160603,1.1990083,-8.397408,8.397408,-0.790916,0.790916,-7.794056,7.794056,0.2958535,0.9031548,0.2958535,0.9031548,-1.2100276,1.2100276,-3.2605712,3.2605712,3.4339068,-3.4339068,-13.198548,13.198548,0.63609564,0.36390436,0.36390436,0.63609564,0.04452001,0.31938434,0.68061566,-0.06780624,0.06780624,-0.19757962,0.19757962,0.018665629,0.02585438,0.018665629,0.02585438,0.053988572,-0.053988572,-0.23207034,0.23207034,0.053988572,-0.053988572,-0.31485286,0.31485286,0.66306245,33.693756,1.1990083,0.85705185,4.149891,3.3333333,0.48813853,0.30324075,0.6793396,7.8333335
1,T.Dell,pass,1,HOU,40.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.009718335,0.07788587,0.0011829399,0.14591369,0.300698,0.0032836793,0.46131748,0.0,0.0,2.8804643,0.1383114,-8.825971,8.825971,-0.6642498,0.6642498,-7.6923404,7.6923404,1.2635062,-1.1251948,0.3903479,0.09680509,-0.9928356,0.9928356,-2.57952,2.57952,3.7021332,-3.7021332,-12.897087,12.897087,0.6659195,0.3340805,0.3340805,0.6659195,0.012163694,0.3219168,0.67808324,-0.066851825,0.066851825,-0.17964374,0.17964374,0.007380826,0.004782868,0.007380826,0.013480948,0.08515215,-0.08515215,-0.22496428,0.22496428,0.08515215,-0.08515215,-0.31642538,0.31642538,0.571158,-14.2586565,0.1383114,0.39874342,3.1717515,1.5714285,0.81982267,0.65670663,0.50499904,8.285714
2,J.Mixon,pass,1,HOU,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.023773253,0.11603556,0.0017671882,0.21324094,0.2617109,0.0061070584,0.37736508,0.0,0.0,1.5945749,-0.19983757,-6.359129,6.359129,-0.28001362,0.28001362,-6.8887367,6.8887367,-1.0641087,0.86427116,-1.0641087,0.86427116,-0.91741306,0.91741306,-2.767855,2.767855,4.1345196,-4.1345196,-13.35374,13.35374,0.6096864,0.39031363,0.39031363,0.6096864,-0.011848529,0.40216216,0.59783787,-0.04693007,0.04693007,-0.15677746,0.15677746,0.0,-0.011848529,0.0,-0.011848529,0.09706849,-0.09706849,-0.23806758,0.23806758,0.09706849,-0.09706849,-0.32993925,0.32993925,0.89154154,10.845844,-0.19983757,1.0571197,9.075494,7.3333335,0.39042187,0.13573964,0.70057803,14.333333
3,N.Collins,pass,1,HOU,117.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.31585386,0.0947729,0.0013987479,0.13310774,0.21808721,0.0023054057,0.23447417,0.0,0.0,1.0813214,1.1661105,-10.033056,10.033056,0.22067395,-0.22067395,-10.539022,10.539022,1.3573604,-0.1912499,1.2427119,0.0840857,-2.7042227,2.7042227,-2.8688316,2.8688316,4.744056,-4.744056,-17.405119,17.405119,0.67735296,0.32264704,0.32264704,0.67735296,0.04964424,0.2730028,0.7269972,-0.047400024,0.047400024,-0.2804042,0.2804042,0.014989294,0.034654945,0.014989294,0.039721355,0.053532105,-0.053532105,-0.2747639,0.2747639,0.053532105,-0.053532105,-0.40632582,0.40632582,0.5893179,16.068207,1.1661105,0.4497118,5.0538063,2.75,0.97158265,0.9695138,0.761056,7.375
4,D.Ogunbowale,pass,1,HOU,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023152386,0.08427757,0.0009137759,0.15280859,0.36421233,0.0030058033,0.3924667,0.0,0.0,2.521595,-0.96869147,-10.630239,10.630239,1.0810337,-1.0810337,-11.3976,11.3976,-0.96869147,0.0,-0.96869147,0.0,-2.4628227,2.4628227,-3.8496068,3.8496068,3.5635016,-3.5635016,-17.450085,17.450085,0.7694151,0.23058492,0.23058492,0.7694151,-0.02306366,0.25364858,0.7463514,-0.04996274,0.04996274,-0.28535718,0.28535718,-0.02306366,0.0,-0.02306366,0.0,0.15267071,-0.15267071,-0.37281528,0.37281528,0.15267071,-0.15267071,-0.515832,0.515832,0.7298726,27.012741,-0.96869147,1.9615915,4.6799393,3.0,0.6428112,0.6428112,0.95453495,5.0
5,X.Hutchinson,pass,1,HOU,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070322985,0.14607191,0.0025078307,0.30279982,0.19673923,0.0035581277,0.34129077,0.0,0.0,0.4235392,-0.58222795,-13.457799,13.457799,0.39356503,-0.39356503,-12.19796,12.19796,-0.58222795,0.0,-0.58222795,0.0,-1.8805947,1.8805947,-3.8496068,3.8496068,2.9125376,-2.9125376,-15.621158,15.621158,0.819244,0.18075597,0.18075597,0.819244,-0.011557817,0.19231379,0.8076862,-0.051902097,0.051902097,-0.30087999,0.30087999,-0.011557817,0.0,-0.011557817,0.0,0.16422853,-0.16422853,-0.37281528,0.37281528,0.16422853,-0.16422853,-0.5037093,0.5037093,0.809456,19.054401,-0.58222795,0.85835797,4.72033,3.0,0.45544907,0.2253417,0.59916705,10.0
6,B.Jordan,pass,1,HOU,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.008645982,0.13689873,0.001816212,0.25834846,0.21333057,0.0052162125,0.37574387,0.0,0.0,1.0578634,0.95525867,-6.07837,6.07837,-0.17177159,0.17177159,-7.1843724,7.1843724,0.5418415,0.41341716,1.0784228,0.1564804,-2.0805807,2.0805807,-1.628809,1.628809,2.0784454,-2.0784454,-10.606112,10.606112,0.54190993,0.4580901,0.4580901,0.54190993,0.032967225,0.42512286,0.57487714,-0.024792006,0.024792006,-0.1551156,0.1551156,0.0,0.032967225,0.0,0.040572807,0.09926839,-0.09926839,-0.23159677,0.23159677,0.09926839,-0.09926839,-0.30117083,0.30117083,0.8311907,-33.11907,0.95525867,0.8869202,8.351235,6.5,0.7349811,0.6120671,0.34065133,5.5
7,D.Schultz,pass,1,HOU,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35500124,0.054535404,0.0010471413,0.0893876,0.31136727,0.0014534349,0.18720794,0.0,0.0,1.4560505,-0.6315513,-6.833616,6.833616,0.5397113,-0.5397113,-7.121855,7.121855,-0.76818275,0.13663141,-0.76818275,0.13663141,-0.5832016,0.5832016,-1.7421961,1.7421961,6.5775466,-6.5775466,-15.898148,15.898148,0.64190155,0.35809848,0.35809848,0.64190155,-0.030817747,0.38891622,0.6110838,-0.03312825,0.03312825,-0.14982402,0.14982402,-0.032378953,0.0015612046,-0.032378953,0.0015612046,0.06688857,-0.06688857,-0.15311909,0.15311909,0.06688857,-0.06688857,-0.28229287,0.28229287,0.8017196,19.828043,-0.6315513,1.1485581,4.821562,3.0,0.75637317,0.32644555,0.8030855,10.0
8,D.Wicks,pass,2,GB,26.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.09584535,0.054391317,0.0008957656,0.09038704,0.359347,0.003068577,0.396065,0.0,0.0,3.058958,0.88306415,13.598778,-13.598778,1.3852407,-1.3852407,11.906345,-11.906345,0.89492774,-0.0118635595,0.6446099,0.37949032,0.4383526,-0.4383526,1.9944645,-1.9944645,-0.37162733,0.37162733,11.4926605,-11.4926605,0.8621002,0.13789983,0.8621002,0.13789983,0.012357566,0.8744577,0.12554227,0.12484277,-0.12484277,0.16067907,-0.16067907,-0.00019064546,0.012548211,-0.00019064546,0.015249777,-0.03976651,0.03976651,0.04993965,-0.04993965,-0.34659675,0.34659675,0.49312246,-0.49312246,0.6682445,8.17555,0.88306415,0.3383218,3.3527422,1.5,0.9955897,0.77144456,0.7590364,8.5
9,L.Musgrave,pass,2,GB,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1944347,0.072256796,0.00080370705,0.12437106,0.2823059,0.006530589,0.31929725,0.0,0.0,2.0060844,0.30650324,17.117891,-17.117891,-6.0628877,6.0628877,19.092632,-19.092632,-0.8624477,1.1689509,-0.8624477,1.1689509,0.6424466,-0.6424466,2.0029564,-2.0029564,-1.6425732,1.6425732,19.16458,-19.16458,0.987123,0.012876987,0.987123,0.012876987,0.0014939904,0.988617,0.011382997,0.09807777,-0.09807777,0.21428344,-0.21428344,0.0,0.0014939904,0.0,0.0014939904,-0.03167151,0.03167151,-0.00690215,0.00690215,-0.645332,0.645332,0.8313087,-0.8313087,0.86761594,13.238406,0.30650324,1.2406832,7.7978935,6.0,0.57977915,0.18832019,0.62921005,11.0
