,rusher_player_name,play_type,week,posteam,rushing_yards,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_yards,aborted_play,success,first_down,out_of_bounds,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,cp,cpoe,qb_epa,xyac_epa,xyac_mean_yardage,xyac_median_yardage,xyac_success,xyac_fd,xpass,ydstogo
0,C.Stroud,run,1,HOU,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02595141,0.09370301,0.0014044134,0.15374327,0.3328051,0.0047387863,0.387654,0.0,0.0,2.3613503,-0.31295294,-6.226234,6.226234,-1.0457,1.0457,-5.534968,5.534968,0.0,0.0,0.0,0.0,-0.16596885,0.16596885,-1.62093,1.62093,4.4787827,-4.4787827,-11.357044,11.357044,0.6513038,0.34869617,0.34869617,0.6513038,0.0013085455,0.34738764,0.6526124,-0.10502292,0.10502292,-0.13590074,0.13590074,0.0,0.0,0.0,0.0,0.058700882,-0.058700882,-0.16142237,0.16142237,0.058700882,-0.058700882,-0.24138843,0.24138843,0.0,0.0,-0.31295294,0.0,0.0,0.0,0.0,0.0,0.9270392,9.0
1,S.Diggs,run,1,HOU,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.027282821,0.1610514,0.002522384,0.2710496,0.19183657,0.0026605036,0.34359676,0.0,0.0,0.60046196,0.30753854,-3.420225,3.420225,-1.3020988,1.3020988,-1.7386929,1.7386929,0.0,0.0,0.0,0.0,3.149833,-3.149833,-1.601892,1.601892,6.892763,-6.892763,-9.356261,9.356261,0.46430698,0.53569305,0.53569305,0.46430698,0.0032335222,0.5324595,0.4675405,-0.047166318,0.047166318,0.014672667,-0.014672667,0.0,0.0,0.0,0.0,0.032470196,-0.032470196,-0.0066405237,0.0066405237,0.032470196,-0.032470196,-0.050288826,0.050288826,0.0,0.0,0.30753854,0.0,0.0,0.0,0.0,0.0,0.48774165,10.0
2,C.Stroud,qb_kneel,1,HOU,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55100304,0.018932194,0.00040267484,0.008650871,0.30168724,0.0007531446,0.11857083,0.0,0.0,1.6184058,-0.9267311,-7.3573537,7.3573537,2.2680185,-2.2680185,-10.540823,10.540823,0.0,0.0,0.0,0.0,-0.51833075,0.51833075,-4.1468096,4.1468096,10.09185,-10.09185,-23.31926,23.31926,0.95646137,0.04353863,0.04353863,0.95646137,0.0,0.0,0.0,-0.19933498,0.19933498,-0.3779357,0.3779357,0.0,0.0,0.0,0.0,0.013069577,-0.013069577,-0.3136121,0.3136121,0.013069577,-0.013069577,-0.4845789,0.4845789,0.0,0.0,-0.9267311,0.0,0.0,0.0,0.0,0.0,0.0,10.5
3,D.Pierce,run,1,HOU,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.025501838,0.031766932,0.0005082383,0.0500233,0.34195772,0.0009085092,0.54933345,0.0,0.0,4.426544,0.21219431,-9.9846,9.9846,-2.410961,2.410961,-7.362704,7.362704,0.0,0.0,0.0,0.0,-0.095453806,0.095453806,-3.319229,3.319229,5.710687,-5.710687,-15.106051,15.106051,0.70176333,0.29823673,0.29823673,0.70176333,0.0036234658,0.29461327,0.7053867,-0.11573723,0.11573723,-0.18299925,0.18299925,0.0,0.0,0.0,0.0,0.100662924,-0.100662924,-0.25134766,0.25134766,0.100662924,-0.100662924,-0.35687503,0.35687503,0.0,0.0,0.21219431,0.0,0.0,0.0,0.0,0.0,0.30741447,7.0
4,J.Mixon,run,1,HOU,159.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,9.0,1.0,0.13520485,0.08680048,0.0018996057,0.1374091,0.22683291,0.0022634256,0.37733155,0.0,0.015274194,2.1308305,0.08382422,-9.048331,9.048331,-0.055443887,0.055443887,-9.02495,9.02495,0.0,0.0,0.0,0.0,-1.054301,1.054301,-3.3254726,3.3254726,5.702093,-5.702093,-16.82628,16.82628,0.7044262,0.29557377,0.29557377,0.7044262,0.009732263,0.2858415,0.71415854,-0.0705814,0.0705814,-0.23908675,0.23908675,0.0,0.0,0.0,0.0,0.08276577,-0.08276577,-0.27135536,0.27135536,0.08276577,-0.08276577,-0.39454398,0.39454398,0.0,0.0,0.08382422,0.0,0.0,0.0,0.0,0.0,0.4310237,7.354839
5,T.Dell,run,1,HOU,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,1.0,0.032697856,0.08048372,0.0009700932,0.1437819,0.27971613,0.00352497,0.45882532,0.0,0.0,2.8081107,0.06569755,-9.523899,9.523899,-0.98794466,0.98794466,-9.332609,9.332609,0.0,0.0,0.0,0.0,-1.3287725,1.3287725,-3.998208,3.998208,5.0232477,-5.0232477,-17.042444,17.042444,0.6854402,0.3145598,0.3145598,0.6854402,0.00393793,0.31062186,0.68937814,-0.06637905,0.06637905,-0.24726634,0.24726634,0.0,0.0,0.0,0.0,0.1284486,-0.1284486,-0.34321368,0.34321368,0.1284486,-0.1284486,-0.4692886,0.4692886,0.0,0.0,0.06569755,0.0,0.0,0.0,0.0,0.0,0.37263137,6.0
6,Em.Wilson,run,2,GB,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.030280497,0.057048578,0.0007971682,0.09186178,0.32915953,0.0022686566,0.4885838,0.0,0.0,3.59633,-0.14905278,6.776886,-6.776886,1.7338073,-1.7338073,4.227498,-4.227498,0.0,0.0,0.0,0.0,-0.27471176,0.27471176,0.40059128,-0.40059128,-0.62947446,0.62947446,4.5428476,-4.5428476,0.72619617,0.27380386,0.72619617,0.27380386,-0.0026389242,0.7235572,0.2764428,0.10001385,-0.10001385,0.043550663,-0.043550663,0.0,0.0,0.0,0.0,-0.022431979,0.022431979,-0.00138043,0.00138043,-0.14516407,0.14516407,0.1830534,-0.1830534,0.0,0.0,-0.14905278,0.0,0.0,0.0,0.0,0.0,0.45336366,6.6
7,M.Lloyd,run,2,GB,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.08377298,0.067576885,0.0011507213,0.109121114,0.32546708,0.0032579517,0.40965328,0.0,0.0,2.8816102,-0.30086228,11.1120825,-11.1120825,0.8585553,-0.8585553,9.466136,-9.466136,0.0,0.0,0.0,0.0,0.3325971,-0.3325971,0.98304224,-0.98304224,-0.8904806,0.8904806,9.833074,-9.833074,0.82257986,0.17742015,0.82257986,0.17742015,-0.0049820445,0.8175978,0.18240221,0.1076416,-0.1076416,0.1175113,-0.1175113,0.0,0.0,0.0,0.0,-0.030922815,0.030922815,0.02387026,-0.02387026,-0.2354763,0.2354763,0.34355202,-0.34355202,0.0,0.0,-0.30086228,0.0,0.0,0.0,0.0,0.0,0.44522342,10.833333
8,J.Reed,run,2,GB,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.020018991,0.141851,0.0020941447,0.2361265,0.20772788,0.0028166901,0.38936484,0.0,0.0,1.271744,1.2748028,8.908287,-8.908287,5.56285,-5.56285,3.7550957,-3.7550957,0.0,0.0,0.0,0.0,-1.0830092,1.0830092,0.32836702,-0.32836702,-1.711215,1.711215,5.4663105,-5.4663105,0.7211873,0.2788127,0.7211873,0.2788127,0.02259183,0.7437791,0.25622088,0.124181524,-0.124181524,0.056837924,-0.056837924,0.0,0.0,0.0,0.0,-0.04318455,0.04318455,0.029110452,-0.029110452,-0.04318455,0.04318455,0.10002247,-0.10002247,0.0,0.0,1.2748028,0.0,0.0,0.0,0.0,0.0,0.4597938,10.0
9,J.Jacobs,run,2,GB,151.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,3.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,0.16860324,0.0825053,0.0013134154,0.12713856,0.2358922,0.0032440948,0.38130316,0.0,0.0,2.2431743,-0.2602838,10.417571,-10.417571,0.6684606,-0.6684606,9.349741,-9.349741,0.0,0.0,0.0,0.0,-0.19288267,0.19288267,0.6517652,-0.6517652,-1.7250354,1.7250354,10.485791,-10.485791,0.82715166,0.17284834,0.82715166,0.17284834,0.0003283117,0.82747996,0.17252004,0.108989626,-0.108989626,0.13288519,-0.13288519,0.0,0.0,0.0,0.0,-0.03404918,0.03404918,0.028822852,-0.028822852,-0.2641233,0.2641233,0.3863935,-0.3863935,0.0,0.0,-0.2602838,0.0,0.0,0.0,0.0,0.0,0.48034823,8.40625
